,metric,method,n,delta_mean,delta_median,p_less,p_two_sided
1,rel_mean,stiefel,965,-0.002147747278985582,-0.0037812069058418274,3.343244176429286e-06,6.686488352858572e-06
0,rel_mean,curvature,965,0.030014729866555317,0.019289366900920868,1.0,5.0942010675242615e-84
