,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
stiefel,0.12497755078971386,0.05209481320281646,1000,0.18915944267064333,0.06936163978782119,1000,0.16177620012313126,0.0620088907929575,1000,7.396883788585662,3.7996664946296734,1000,0.06751652118493803,0.0779212623269823,1000,0.0016473826400191123,0.0021934076397367316,0.001960893300863902,0.12015600472057712,0.0024640866710873605
vanilla,0.14400802389532327,0.06389695425959563,1000,0.20771730552613735,0.08481733851128417,1000,0.17343225805833937,0.0765897837521195,1000,7.925892249464988,4.399793836043097,1000,0.08023300392273813,0.09653118720685858,1000,0.0020205991100792,0.002682159747691731,0.002421981621564546,0.13913369757065622,0.0030525841681378054
curvature,0.18218809527531266,0.09334139585299193,1000,0.25689771787077187,0.12951575328746207,1000,0.20122755698114633,0.09699615931299042,1000,9.111986144781113,5.126695024033541,1000,0.10672364228288643,0.1263267945222761,1000,0.002951714108748498,0.004095647732608207,0.0030672878771760273,0.1621203314499766,0.003994804001984749
