,method,split,field,horizon,mu_id,k0,abs_mean,abs_max,abs_fin,rel_mean,rel_max,rel_fin,mse_fin
53,vanilla,extrap,u_fine,320,8,612,8.80429744720459,18.2498722076416,17.378021240234375,0.17794005572795868,0.29257822036743164,0.29041773080825806,0.29491758346557617
54,vanilla,extrap,u_fine,320,8,563,8.02612018585205,18.37910270690918,13.561172485351562,0.17460320889949799,0.2951255738735199,0.2678220868110657,0.17959511280059814
55,vanilla,extrap,u_fine,320,8,680,8.24161434173584,18.075225830078125,4.323205947875977,0.17233413457870483,0.2887022793292999,0.1301811784505844,0.018252061679959297
56,vanilla,extrap,u_fine,320,8,609,9.113571166992188,18.456357955932617,18.101743698120117,0.18521331250667572,0.29573482275009155,0.29562345147132874,0.3199933171272278
57,vanilla,extrap,u_fine,320,8,671,8.354891777038574,18.421310424804688,4.247437953948975,0.17239442467689514,0.29385194182395935,0.1211930587887764,0.01761789806187153
58,vanilla,extrap,u_fine,320,8,503,8.799551010131836,18.796035766601562,6.446923732757568,0.1914793998003006,0.29990243911743164,0.19208525121212006,0.04058869928121567
59,vanilla,extrap,u_fine,320,8,583,9.78648567199707,19.82217788696289,17.938671112060547,0.20943807065486908,0.31680771708488464,0.30660536885261536,0.3142538070678711
60,vanilla,extrap,u_fine,320,15,651,3.336995840072632,5.2552032470703125,5.241554260253906,0.07492305338382721,0.10667934268712997,0.09781471639871597,0.026829971000552177
61,vanilla,extrap,u_fine,320,15,637,3.7605063915252686,5.562251567840576,5.459592342376709,0.08580715209245682,0.1163254827260971,0.10204508155584335,0.029108542948961258
62,vanilla,extrap,u_fine,320,15,574,3.1065335273742676,4.588616371154785,4.227472305297852,0.07422439008951187,0.10113809257745743,0.10057145357131958,0.017452655360102654
63,vanilla,extrap,u_fine,320,15,590,3.0631277561187744,4.562707901000977,4.562707901000977,0.07320844382047653,0.09930898249149323,0.09852690994739532,0.02033037319779396
64,vanilla,extrap,u_fine,320,15,576,3.105726957321167,4.572040557861328,4.241845607757568,0.07426075637340546,0.10016386955976486,0.09957971423864365,0.01757153868675232
65,vanilla,extrap,u_fine,320,15,596,3.1851515769958496,4.794832229614258,4.794832229614258,0.07573524862527847,0.10157296806573868,0.10001841187477112,0.022451577708125114
