,metric,method,n,delta_mean,delta_median,p_less,p_two_sided
1,rel_mean,stiefel,783,-0.13343883253453181,-0.13239334523677826,4.116504307108631e-130,8.233008614217262e-130
0,rel_mean,curvature,783,0.27084766143735495,0.26904359459877014,1.0,8.233008614217262e-130
