,metric,method,n,delta_mean,delta_median,p_less,p_two_sided
1,rel_mean,stiefel,783,-0.1370641181714081,-0.13313144445419312,4.116504307108631e-130,8.233008614217262e-130
0,rel_mean,curvature,783,0.24847058831960306,0.23492270708084106,1.0,8.233008614217262e-130
