step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,window_id,mu_id,k0,run
0,21.017255783081055,2.3584001064300537,0.009496845304965973,248.33511352539062,3.302877902984619,0.00016439592582173645,vanilla,extrap,u_fine,80,0,170,669,3
16,21.519908905029297,2.423388719558716,0.029185017570853233,83.03536987304688,3.259927988052368,0.6531243324279785,vanilla,extrap,u_fine,80,0,170,669,3
32,22.022563934326172,1.698384165763855,0.02703488990664482,62.821937561035156,3.3663971424102783,0.8606568574905396,vanilla,extrap,u_fine,80,0,170,669,3
48,22.525218963623047,1.2709004878997803,0.034606557339429855,36.72426986694336,3.0946240425109863,0.7660319805145264,vanilla,extrap,u_fine,80,0,170,669,3
64,23.027873992919922,1.7398300170898438,0.018906570971012115,92.02250671386719,3.269442081451416,0.7550569176673889,vanilla,extrap,u_fine,80,0,170,669,3
80,23.530529022216797,1.5275412797927856,0.009190015494823456,166.2174835205078,3.3425040245056152,1.0236364603042603,vanilla,extrap,u_fine,80,0,170,669,3
0,26.10663414001465,2.320863962173462,0.060324545949697495,38.47296142578125,3.292147397994995,8.828825957607478e-05,vanilla,extrap,u_fine,80,1,170,831,3
16,26.609289169311523,2.785532236099243,0.06735526025295258,41.3558235168457,3.2513294219970703,1.0368531942367554,vanilla,extrap,u_fine,80,1,170,831,3
32,27.1119441986084,2.0972304344177246,0.03272157534956932,64.09320068359375,3.3621490001678467,1.045953631401062,vanilla,extrap,u_fine,80,1,170,831,3
48,27.614599227905273,2.1828267574310303,0.07574526220560074,28.817996978759766,2.9913947582244873,0.9873842597007751,vanilla,extrap,u_fine,80,1,170,831,3
64,28.11725425720215,2.2506117820739746,0.008778129704296589,256.3885192871094,3.2996158599853516,0.8142099976539612,vanilla,extrap,u_fine,80,1,170,831,3
80,28.619909286499023,1.797858476638794,0.02949458733201027,60.95553970336914,3.3653483390808105,0.8443297147750854,vanilla,extrap,u_fine,80,1,170,831,3
0,19.886281967163086,2.6204640865325928,0.08134946972131729,32.21242904663086,3.288811206817627,0.00013326675980351865,vanilla,extrap,u_fine,80,2,170,633,3
16,20.38893699645996,3.391336441040039,0.026922203600406647,125.96800994873047,3.245220899581909,0.8638836145401001,vanilla,extrap,u_fine,80,2,170,633,3
32,20.891592025756836,2.142951250076294,0.025936326012015343,82.62355041503906,3.3628904819488525,0.9586674571037292,vanilla,extrap,u_fine,80,2,170,633,3
48,21.394245147705078,2.2775325775146484,0.07642422616481781,29.801185607910156,2.9899168014526367,0.8956093192100525,vanilla,extrap,u_fine,80,2,170,633,3
64,21.896900177001953,2.087153434753418,0.020983321592211723,99.46725463867188,3.2983877658843994,0.835430920124054,vanilla,extrap,u_fine,80,2,170,633,3
80,22.399555206298828,1.676759958267212,0.03135943412780762,53.46907424926758,3.364307165145874,0.8254073262214661,vanilla,extrap,u_fine,80,2,170,633,3
0,18.880971908569336,1.944320797920227,0.02164018154144287,89.84770965576172,3.3040881156921387,0.0002543948357924819,vanilla,extrap,u_fine,80,3,170,601,3
16,19.38362693786621,2.5667295455932617,0.041434790939092636,61.94623947143555,3.245490312576294,1.2775795459747314,vanilla,extrap,u_fine,80,3,170,601,3
32,19.886281967163086,2.8552560806274414,0.03268026188015938,87.36943817138672,3.3572394847869873,2.0587618350982666,vanilla,extrap,u_fine,80,3,170,601,3
48,20.38893699645996,3.078439235687256,0.040842317044734955,75.37376403808594,3.1146979331970215,1.8204058408737183,vanilla,extrap,u_fine,80,3,170,601,3
64,20.891592025756836,2.3413217067718506,0.030718881636857986,76.2176742553711,3.3006880283355713,1.5424131155014038,vanilla,extrap,u_fine,80,3,170,601,3
80,21.394245147705078,2.3264641761779785,0.07213152199983597,32.25308609008789,3.3861637115478516,1.4390102624893188,vanilla,extrap,u_fine,80,3,170,601,3
0,26.169466018676758,2.6819984912872314,0.08162395656108856,32.85798263549805,3.288799285888672,0.000131822976982221,vanilla,extrap,u_fine,80,4,170,833,3
16,26.672121047973633,3.410891056060791,0.023851847276091576,143.0032196044922,3.2451984882354736,0.8809294104576111,vanilla,extrap,u_fine,80,4,170,833,3
32,27.174776077270508,2.171475648880005,0.02715126797556877,79.9769515991211,3.362863779067993,0.9794278144836426,vanilla,extrap,u_fine,80,4,170,833,3
48,27.677431106567383,2.3133203983306885,0.07606805115938187,30.411195755004883,2.9899253845214844,0.9112441539764404,vanilla,extrap,u_fine,80,4,170,833,3
64,28.180086135864258,2.061126947402954,0.01998712308704853,103.12274169921875,3.297090768814087,0.8114809393882751,vanilla,extrap,u_fine,80,4,170,833,3
80,28.682741165161133,1.6680433750152588,0.03152478113770485,52.912132263183594,3.3639676570892334,0.8028934597969055,vanilla,extrap,u_fine,80,4,170,833,3
0,27.300439834594727,2.3464980125427246,0.00973498821258545,241.03758239746094,3.3028576374053955,0.00016432430129498243,vanilla,extrap,u_fine,80,5,170,869,3
16,27.8030948638916,2.4068148136138916,0.02718760445713997,88.52618408203125,3.260023593902588,0.6495501399040222,vanilla,extrap,u_fine,80,5,170,869,3
32,28.305749893188477,1.6849350929260254,0.02767062559723854,60.892555236816406,3.3664889335632324,0.8461933135986328,vanilla,extrap,u_fine,80,5,170,869,3
48,28.80840492248535,1.261749505996704,0.034606900066137314,36.459476470947266,3.0963916778564453,0.7768003940582275,vanilla,extrap,u_fine,80,5,170,869,3
64,29.311059951782227,1.7569756507873535,0.018354319036006927,95.7254638671875,3.2687277793884277,0.8189080953598022,vanilla,extrap,u_fine,80,5,170,869,3
80,29.8137149810791,1.5119647979736328,0.014155250042676926,106.81300354003906,3.3412575721740723,1.1112772226333618,vanilla,extrap,u_fine,80,5,170,869,3
0,16.776103973388672,1.5970474481582642,0.015826120972633362,100.91212463378906,3.287360429763794,0.0001491307921241969,vanilla,extrap,u_fine,80,6,170,534,3
16,17.278759002685547,1.6840051412582397,0.00014140133862383664,11909.400390625,3.1452012062072754,0.6000969409942627,vanilla,extrap,u_fine,80,6,170,534,3
32,17.781414031982422,1.4458699226379395,0.004172245040535927,346.5448303222656,3.348550319671631,0.815122127532959,vanilla,extrap,u_fine,80,6,170,534,3
48,18.284069061279297,1.7627917528152466,0.00813296064734459,216.7466278076172,3.0650906562805176,1.0501521825790405,vanilla,extrap,u_fine,80,6,170,534,3
64,18.786724090576172,2.4572675228118896,0.005721262656152248,429.4974060058594,3.369687080383301,1.4077410697937012,vanilla,extrap,u_fine,80,6,170,534,3
80,19.289379119873047,2.7532382011413574,0.08483944833278656,32.452335357666016,3.3686318397521973,1.7788044214248657,vanilla,extrap,u_fine,80,6,170,534,3
0,16.49336051940918,1.2267175912857056,0.0027784903068095446,441.5050964355469,3.292558431625366,0.00010636945080477744,vanilla,extrap,u_fine,80,7,170,525,3
16,16.996015548706055,1.7445629835128784,0.010451692156493664,166.9167938232422,3.1558706760406494,0.5671419501304626,vanilla,extrap,u_fine,80,7,170,525,3
32,17.49867057800293,1.872940182685852,0.014351673424243927,130.50326538085938,3.340332269668579,0.8828088045120239,vanilla,extrap,u_fine,80,7,170,525,3
48,18.001325607299805,1.7753371000289917,0.004610145464539528,385.093505859375,3.1327192783355713,0.8967623114585876,vanilla,extrap,u_fine,80,7,170,525,3
64,18.50398063659668,2.606746196746826,0.01810949295759201,143.94363403320312,3.3315720558166504,1.2189838886260986,vanilla,extrap,u_fine,80,7,170,525,3
80,19.006635665893555,2.718804121017456,0.03415989503264427,79.59053039550781,3.365755796432495,1.504179835319519,vanilla,extrap,u_fine,80,7,170,525,3
0,24.5672550201416,1.6281534433364868,0.01491796225309372,109.14047241210938,3.314894676208496,0.00010941467917291448,vanilla,extrap,u_fine,80,8,170,782,3
16,25.069910049438477,3.1274502277374268,0.018676819279789925,167.45089721679688,3.1245343685150146,1.0273712873458862,vanilla,extrap,u_fine,80,8,170,782,3
32,25.57256507873535,2.6165530681610107,0.08111298829317093,32.25812530517578,3.3735110759735107,1.7083624601364136,vanilla,extrap,u_fine,80,8,170,782,3
48,26.075218200683594,2.462928056716919,0.055379800498485565,44.4734001159668,3.170427083969116,2.1884925365448,vanilla,extrap,u_fine,80,8,170,782,3
64,26.57787322998047,3.1112494468688965,0.03243870288133621,95.91165161132812,3.3750619888305664,2.121204137802124,vanilla,extrap,u_fine,80,8,170,782,3
80,27.080528259277344,2.5697855949401855,0.022319229319691658,115.13774108886719,3.3898472785949707,1.717360496520996,vanilla,extrap,u_fine,80,8,170,782,3
0,20.169025421142578,2.7486796379089355,0.07315605133771896,37.57282638549805,3.281128406524658,0.00011737229215214029,vanilla,extrap,u_fine,80,9,170,642,3
16,20.671680450439453,2.276733636856079,0.04733177646994591,48.10158920288086,3.235797643661499,0.6306511163711548,vanilla,extrap,u_fine,80,9,170,642,3
32,21.174333572387695,1.9799073934555054,0.053206879645586014,37.211490631103516,3.366513252258301,0.8253239393234253,vanilla,extrap,u_fine,80,9,170,642,3
