,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
stiefel,0.10090996948629617,0.04469789399779492,1000,0.14964319156110287,0.06708913233318922,1000,0.11988915876671671,0.060787834118426656,1000,5.620134658455848,3.8602560720857078,1000,0.045383387581212443,0.06962148393602652,1000,0.0014134715164580117,0.0021215446441732438,0.0019222800984272184,0.12207201539285971,0.0022016246331866833
vanilla,0.10127228202298283,0.047985703443206934,1000,0.15047854583337902,0.06905390954258957,1000,0.12344825429283082,0.06318242840111855,1000,5.748794834733009,3.838548959925813,1000,0.04664879453211324,0.06749009550323884,1000,0.0015174411800591818,0.0021836763549381907,0.0019980038184804535,0.12138557623435967,0.0021342242129252257
stoch_iso,0.12513174301572144,0.06386544263499688,1000,0.18120240441337226,0.090210996681676,1000,0.14153503076545895,0.0754810521649495,1000,6.580351026296616,4.533622415642508,1000,0.06233808433625381,0.09768098365690178,1000,0.002019602625014158,0.002852722195079878,0.002386920450272239,0.14336572884624907,0.0030889439244149307
operator_norm,0.12806908296793698,0.06243574369228206,1000,0.18449581003561616,0.08728881789394967,1000,0.15127277855202556,0.07965952128461283,1000,6.949373741745949,4.490357049428494,1000,0.06683294816245325,0.09530692590123534,1000,0.0019743915747410237,0.002760314788085429,0.0025190552457803866,0.14199755783587326,0.003013869626367996
curvature,0.13568580704554917,0.056932568288624905,1000,0.19993297686055303,0.07984047423348152,1000,0.16509660909697413,0.07053758910178794,1000,7.624021370887756,4.447926469020178,1000,0.076064421903342,0.10677634624660073,1000,0.0018003658883512924,0.0025247774804578772,0.0022305944221872056,0.1406557850705413,0.003376564543700293
