,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
vanilla,0.07538906822167336,0.037704337370545786,1000,0.11122873922437429,0.056917167369185215,1000,0.10123144752532244,0.056970149175519805,1000,4.670093444287777,3.2574680667233005,1000,0.031650644475768784,0.04926043677020826,1000,0.0011923158375832872,0.0017998788685163905,0.001801554300342063,0.10301018496110972,0.001557751787285666
stiefel,0.07683938554301858,0.037295657450508495,1000,0.11353883419372142,0.05724775064449382,1000,0.10429238043352962,0.05666709483472317,1000,4.808101285040379,3.242014852485773,1000,0.032830066118389366,0.049584637182805244,1000,0.001179392243770354,0.0018103328295797274,0.0017919708806248802,0.10252151141949843,0.001568003904507394
curvature,0.0930275521799922,0.049461805020199874,1000,0.13561909104138611,0.07212663148045306,1000,0.12366936390846968,0.06997745736485698,1000,5.7104751660227775,3.909287940879152,1000,0.046754664117179344,0.06832348745774809,1000,0.0015641196104698226,0.002280844354338341,0.0022128815014027248,0.12362253922607787,0.0021605783805243124
operator_norm,0.09677452166378499,0.049790159549059874,1000,0.1449017916508019,0.08028803850811071,1000,0.13594080790877341,0.0784561417702953,1000,6.208383787751198,4.07344072976433,1000,0.05382847247831524,0.07104394316642916,1000,0.0015745030923821136,0.002538930705529371,0.002481001044232081,0.1288135061975372,0.0022466067436547094
stoch_iso,0.09828898438066244,0.04649153204646217,1000,0.1455088464729488,0.0710343909784091,1000,0.13540340628288686,0.06843801356455192,1000,6.230996845543385,3.902503534116465,1000,0.05277307225915138,0.0693328450845236,1000,0.001470191331775296,0.0022463046769468937,0.0021642000140148308,0.12340799744664646,0.0021924970712670403
