step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,window_id,mu_id,k0,run
0,21.017255783081055,2.70225191116333,0.0828571766614914,32.613372802734375,3.302863359451294,0.00016439592582173645,vanilla,extrap,u_fine,80,0,170,669,2
16,21.519908905029297,2.2497689723968506,0.018493590876460075,121.65127563476562,3.2591359615325928,0.9179487228393555,vanilla,extrap,u_fine,80,0,170,669,2
32,22.022563934326172,1.8523967266082764,0.0460524708032608,40.22361373901367,3.3560922145843506,1.4180079698562622,vanilla,extrap,u_fine,80,0,170,669,2
48,22.525218963623047,2.2954680919647217,0.01565009541809559,146.67437744140625,3.063877582550049,1.4372466802597046,vanilla,extrap,u_fine,80,0,170,669,2
64,23.027873992919922,2.5374953746795654,0.04123004898428917,61.54480743408203,3.244424343109131,1.2028478384017944,vanilla,extrap,u_fine,80,0,170,669,2
80,23.530529022216797,2.8916478157043457,0.0002532948274165392,11416.134765625,3.329333543777466,1.0393391847610474,vanilla,extrap,u_fine,80,0,170,669,2
0,26.10663414001465,3.063593864440918,0.007057139649987221,434.1127014160156,3.2921292781829834,8.828825957607478e-05,vanilla,extrap,u_fine,80,1,170,831,2
16,26.609289169311523,2.5024712085723877,0.0915687084197998,27.328889846801758,3.2583751678466797,1.0809788703918457,vanilla,extrap,u_fine,80,1,170,831,2
32,27.1119441986084,2.6255650520324707,0.02554977871477604,102.76273345947266,3.3676090240478516,1.2209527492523193,vanilla,extrap,u_fine,80,1,170,831,2
48,27.614599227905273,2.1290318965911865,0.027768917381763458,76.66960144042969,3.006199359893799,1.5398472547531128,vanilla,extrap,u_fine,80,1,170,831,2
64,28.11725425720215,1.7613319158554077,0.0030119323637336493,584.78466796875,3.298725128173828,1.8551312685012817,vanilla,extrap,u_fine,80,1,170,831,2
80,28.619909286499023,1.6296957731246948,0.011923047713935375,136.6844940185547,3.3736732006073,1.737775444984436,vanilla,extrap,u_fine,80,1,170,831,2
0,19.886281967163086,3.2013754844665527,0.02425718866288662,131.9763641357422,3.2888097763061523,0.00013326675980351865,vanilla,extrap,u_fine,80,2,170,633,2
16,20.38893699645996,2.6099226474761963,0.04617874324321747,56.51783752441406,3.2490596771240234,0.9255255460739136,vanilla,extrap,u_fine,80,2,170,633,2
32,20.891592025756836,2.458920955657959,0.020890260115265846,117.70657348632812,3.365860939025879,1.118769884109497,vanilla,extrap,u_fine,80,2,170,633,2
48,21.394245147705078,2.3125829696655273,0.017575116828083992,131.58279418945312,3.000603199005127,1.4031733274459839,vanilla,extrap,u_fine,80,2,170,633,2
64,21.896900177001953,1.852554202079773,0.04167264327406883,44.454925537109375,3.2921314239501953,1.7072831392288208,vanilla,extrap,u_fine,80,2,170,633,2
80,22.399555206298828,1.7381541728973389,0.002936980687081814,591.8167114257812,3.36549973487854,1.540337085723877,vanilla,extrap,u_fine,80,2,170,633,2
0,18.880971908569336,3.7446484565734863,0.11248990148305893,33.288753509521484,3.3040878772735596,0.0002543948357924819,vanilla,extrap,u_fine,80,3,170,601,2
16,19.38362693786621,4.142873764038086,0.01983996294438839,208.81459045410156,3.2424778938293457,1.1576716899871826,vanilla,extrap,u_fine,80,3,170,601,2
32,19.886281967163086,3.609931230545044,0.05204686522483826,69.35924530029297,3.3622548580169678,1.6703416109085083,vanilla,extrap,u_fine,80,3,170,601,2
48,20.38893699645996,2.916102170944214,0.12438836693763733,23.443527221679688,3.0579166412353516,1.7827565670013428,vanilla,extrap,u_fine,80,3,170,601,2
64,20.891592025756836,2.4077277183532715,0.04603780433535576,52.298927307128906,3.3003346920013428,1.601744532585144,vanilla,extrap,u_fine,80,3,170,601,2
80,21.394245147705078,2.0949416160583496,0.0014146034372970462,1480.939208984375,3.387984037399292,1.744919776916504,vanilla,extrap,u_fine,80,3,170,601,2
0,26.169466018676758,3.163154125213623,0.026844238862395287,117.83363342285156,3.288809061050415,0.000131822976982221,vanilla,extrap,u_fine,80,4,170,833,2
16,26.672121047973633,2.6212918758392334,0.03322022780776024,78.90650177001953,3.2498223781585693,0.9279723167419434,vanilla,extrap,u_fine,80,4,170,833,2
32,27.174776077270508,2.4654197692871094,0.018781647086143494,131.2675018310547,3.366975784301758,1.1461515426635742,vanilla,extrap,u_fine,80,4,170,833,2
48,27.677431106567383,2.268185615539551,0.018112294375896454,125.22905731201172,3.0016043186187744,1.4903490543365479,vanilla,extrap,u_fine,80,4,170,833,2
64,28.180086135864258,1.8803123235702515,0.041131988167762756,45.714111328125,3.292689561843872,1.7930703163146973,vanilla,extrap,u_fine,80,4,170,833,2
80,28.682741165161133,1.7403647899627686,0.004876288585364819,356.903564453125,3.368952989578247,1.6293922662734985,vanilla,extrap,u_fine,80,4,170,833,2
0,27.300439834594727,2.7285828590393066,0.08157000690698624,33.450809478759766,3.302854299545288,0.00016432430129498243,vanilla,extrap,u_fine,80,5,170,869,2
16,27.8030948638916,2.25258731842041,0.018232308328151703,123.54920959472656,3.2592971324920654,0.915340006351471,vanilla,extrap,u_fine,80,5,170,869,2
