,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
vanilla,0.07670045328699052,0.038195211971501324,1000,0.11514123046584428,0.0578366084217269,1000,0.1059157251790166,0.055100738053796026,1000,4.920348844051361,3.3206049898552092,1000,0.034399632671789734,0.05160975252363195,1000,0.0012078386554287448,0.0018289541475193334,0.0017424383300630889,0.10500674977662776,0.0016320436745229996
stiefel,0.07745683797821402,0.036259610625341346,1000,0.11465499683097005,0.05428560925137566,1000,0.10707018180377781,0.05316820711917779,1000,4.959080506026745,3.213808553916724,1000,0.03409249662142247,0.050607715370629816,1000,0.0011466295664692094,0.0017166616940425515,0.001681326336041813,0.101629549941089,0.0016003564774870259
operator_norm,0.09915267091616989,0.04998851325356303,1000,0.14997313764505088,0.07889329224509553,1000,0.14077721165306867,0.07651264552606864,1000,6.39897905421257,3.982490640052311,1000,0.055460258061706555,0.07522820380957305,1000,0.0015807755872677331,0.0024948249560380084,0.0024195422966746894,0.12593741182867094,0.0023789246832160663
stoch_iso,0.10138784231618046,0.0535118299229023,1000,0.1519935312587768,0.08237077406243322,1000,0.1384194093644619,0.07868470028760818,1000,6.370875442147255,4.274933022084039,1000,0.0574656555741094,0.08066676687843534,1000,0.0016921926431992375,0.0026047925866840957,0.002488228699165478,0.13518525194452455,0.0025509071481768664
curvature,0.10466954457946122,0.05057110393985902,1000,0.1574354093670845,0.08052278459542682,1000,0.1466080949380994,0.07792589169570494,1000,6.659696970820427,3.9901579463568466,1000,0.05884472910896875,0.07575367609689902,1000,0.001599198722390693,0.0025463540286066876,0.0024642330645802835,0.12617987334307595,0.0023955415759685512
