,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
stiefel,0.08105814976431429,0.03876851620021856,1000,0.12054875922575593,0.058814389349638604,1000,0.1118440670054406,0.05617901637875377,1000,5.17242114508152,3.385389581693096,1000,0.03730795147374738,0.05506113977145419,1000,0.0012259681269782706,0.0018598742953680723,0.0017765364846476653,0.10705541845154852,0.0017411861224267825
vanilla,0.08608928717300296,0.04001607658764202,1000,0.1266665382049978,0.05987516878066085,1000,0.11762983486428857,0.056737390070643774,1000,5.435611223340034,3.4181813773630054,1000,0.04025209905405063,0.05650447365218699,1000,0.0012654194504068729,0.0018934190863389498,0.0017941938111665603,0.10809238608038613,0.0017868283472988373
stoch_iso,0.11302472788840533,0.05363007651934653,1000,0.16677217411622405,0.0794062893272474,1000,0.15660605118796228,0.07672277093900014,1000,7.150829826354981,4.123662159218265,1000,0.06652534409111831,0.08185525990213627,1000,0.0016959319289025028,0.0025110473481642125,0.002426187045666159,0.13040164724177622,0.0025884905975580206
curvature,0.11631303809769451,0.05162792019604587,1000,0.17910848047211766,0.08372804765039545,1000,0.1688227924928069,0.07988568713518995,1000,7.655615745425225,4.186646410856868,1000,0.07433489526738413,0.08364599506853501,1000,0.0016326181867691175,0.0026477133461435907,0.002526207237948117,0.132393384160768,0.002645118615677827
operator_norm,0.1270982926581055,0.05480980362132643,1000,0.1885056605152786,0.08325801793057747,1000,0.17724075699597597,0.07910241362932709,1000,8.034279379487037,4.172170748738271,1000,0.08001879559014924,0.08293043100246666,1000,0.0017332381754993653,0.002632849701317635,0.002501437954854198,0.13193562353143015,0.002622490493072355
