,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
vanilla,0.0846271446403116,0.04341743018755191,1000,0.12567002058029175,0.06718676156181719,1000,0.11412867789901793,0.06531108422456224,1000,5.277852929294109,3.644271170575269,1000,0.040159339337958955,0.05829759154823576,1000,0.0013729796954401563,0.002124631951459941,0.0020653178260470863,0.11524197310305842,0.0018435317139460687
stiefel,0.08872947213426233,0.041285564508389695,1000,0.1326870465092361,0.06474045279804198,1000,0.12120918649248778,0.0627540422785613,1000,5.625186680078507,3.7052506599167003,1000,0.044294803493423386,0.062079945288113975,1000,0.0013055641833232125,0.0020472728759243363,0.0019844570598275637,0.11717031387178727,0.0019631402412907807
curvature,0.09403904641978443,0.04532338332865389,1000,0.1390557903908193,0.07113130798893103,1000,0.12702662338875234,0.0686382018379566,1000,5.851441957116127,3.8213428953777187,1000,0.047683038684073836,0.06552518608766272,1000,0.0014332512258345017,0.0022493694619195315,0.0021705305230629835,0.12084147269896113,0.0020720883214339174
stoch_iso,0.1053148586563766,0.049116705342324304,1000,0.15319348900020122,0.0727581219378018,1000,0.1423546416107565,0.07010879548498031,1000,6.5356126307249065,3.9703738599010165,1000,0.057092126056784764,0.07278819256879172,1000,0.0015532066004510503,0.002300813835997175,0.0022170347774346697,0.12555424559681483,0.0023017647528432413
operator_norm,0.10626964425109327,0.047907063985435934,1000,0.15629062174633146,0.07196927758985422,1000,0.14478648525476456,0.07006473608283491,1000,6.696704290866852,4.171842662232039,1000,0.0607741361723165,0.07929162881763512,1000,0.001514954382054012,0.002275868387408528,0.002215641496803422,0.13192524852513754,0.002507421464483708
