,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
stiefel,0.10410736756026745,0.044479845077241224,1000,0.15823077958822251,0.06661605637513669,1000,0.12924290762282908,0.059344988238391794,1000,5.995070584237576,3.677447099022942,1000,0.048291957675712184,0.06910309347389,1000,0.001406576204155104,0.0021065846688361214,0.001876653305492216,0.11629108807691264,0.002185231687410097
vanilla,0.10594144351407886,0.048849283146907674,1000,0.16128374918922783,0.06980781603749216,1000,0.135323599094525,0.06717636694970679,1000,6.257818601965904,3.904478999122458,1000,0.053115239220496734,0.07281898252235722,1000,0.0015447499681070585,0.002207516971605054,0.0021243032449633124,0.12347046713521544,0.002302738416666419
stoch_iso,0.128578136973083,0.06428448420728852,1000,0.19043683759123087,0.09085243669986554,1000,0.1491776666622609,0.073469874313175,1000,6.922010110735894,4.409768057901721,1000,0.06576253129309043,0.09296160400358816,1000,0.002032853883041555,0.002873006309478466,0.0023233214223593195,0.13944911016026715,0.0029397040359396623
operator_norm,0.13119011379964649,0.060333061403166875,1000,0.1930476588383317,0.08398062903619802,1000,0.154766828995198,0.07075097394494788,1000,7.103900398373604,4.13264607155402,1000,0.06594441948027815,0.08633380874555344,1000,0.0019078989224480172,0.0026557006708805694,0.0022373422434126375,0.1306857434945789,0.002730114747133131
curvature,0.1382900472097099,0.05432947327301211,1000,0.207501059807837,0.07529532264088754,1000,0.1750006500557065,0.06651264269150671,1000,7.991425958275795,3.9857408318931387,1000,0.07786438744608312,0.0878362886519863,1000,0.0017180487961996123,0.0023810471670244904,0.002103314441021133,0.12604019191916604,0.002777627333562776
