metric,method,n,delta_mean,delta_median,p_less,p_two_sided
rel_mean,stiefel,1000,-0.022450543742626904,-0.02269197255373001,3.6365146903319814e-140,7.273029380663963e-140
rel_mean,curvature,1000,-0.008560584787279368,-0.011233318597078323,5.698187945783516e-29,1.1396375891567033e-28
rel_mean,operator_norm,1000,0.0015902194306254387,-0.004923872649669647,2.7685078265530877e-05,5.5370156531061753e-05
rel_mean,stoch_iso,1000,0.007361157402396202,0.003208223730325699,0.9999999999999323,1.3552477214631733e-13
