,step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,mu_id,k0
17,40,22.933626174926758,2.103267192840576,0.006479872856289148,324.5846252441406,3.3097362518310547,1.1674659252166748,vanilla,extrap,u_coarse,40,170,106
18,0,15.707962989807129,1.927178978919983,0.031515657901763916,61.14988708496094,3.37727952003479,7.940109207993373e-05,vanilla,extrap,u_coarse,40,170,100
19,8,16.964599609375,1.908249855041504,0.00893070362508297,213.67295837402344,3.3222153186798096,0.9898499250411987,vanilla,extrap,u_coarse,40,170,100
20,16,18.221237182617188,2.7860474586486816,0.0025559058412909508,1090.0430908203125,3.4279425144195557,1.4970688819885254,vanilla,extrap,u_coarse,40,170,100
21,24,19.477874755859375,4.538363456726074,0.057813555002212524,78.49999237060547,3.5258946418762207,1.54156494140625,vanilla,extrap,u_coarse,40,170,100
22,32,20.734512329101562,3.765247344970703,0.09942641854286194,37.869686126708984,3.02732515335083,1.436194658279419,vanilla,extrap,u_coarse,40,170,100
23,40,21.991147994995117,2.252271890640259,0.009924352169036865,226.9439697265625,3.4253456592559814,1.4989033937454224,vanilla,extrap,u_coarse,40,170,100
24,0,22.61946678161621,2.680438280105591,0.0027089365758001804,989.4799194335938,3.32936954498291,6.271882011787966e-05,vanilla,extrap,u_coarse,40,170,144
25,8,23.8761043548584,3.863942861557007,0.005088509060442448,759.3467407226562,3.3619062900543213,0.8331708312034607,vanilla,extrap,u_coarse,40,170,144
26,16,25.132741928100586,5.863008499145508,0.04894080013036728,119.7979736328125,3.4592666625976562,1.487892508506775,vanilla,extrap,u_coarse,40,170,144
27,24,26.38937759399414,3.903324604034424,0.10776528716087341,36.220611572265625,3.550532579421997,1.5579237937927246,vanilla,extrap,u_coarse,40,170,144
28,32,27.646015167236328,2.6915035247802734,0.030048320069909096,89.572509765625,3.3747775554656982,1.6511174440383911,vanilla,extrap,u_coarse,40,170,144
29,40,28.902652740478516,2.6577701568603516,0.007535984739661217,352.6772155761719,2.623878240585327,1.3048508167266846,vanilla,extrap,u_coarse,40,170,144
30,0,23.719024658203125,2.2449417114257812,0.038256723433732986,58.680973052978516,3.326007843017578,3.062093674088828e-05,vanilla,extrap,u_coarse,40,170,151
31,8,24.975662231445312,4.126745700836182,0.0689874216914177,59.81881332397461,3.4368064403533936,1.3525046110153198,vanilla,extrap,u_coarse,40,170,151
32,16,26.232297897338867,4.987353801727295,0.01854139380156994,268.9848327636719,3.4176628589630127,1.4526151418685913,vanilla,extrap,u_coarse,40,170,151
33,24,27.488935470581055,2.7276694774627686,0.08197065442800522,33.27616882324219,3.4312870502471924,1.5661128759384155,vanilla,extrap,u_coarse,40,170,151
34,32,28.745573043823242,2.2908289432525635,0.019605085253715515,116.84870910644531,3.390124797821045,1.387427568435669,vanilla,extrap,u_coarse,40,170,151
35,40,30.00221061706543,3.366305351257324,0.0026235939003527164,1283.08935546875,3.385552167892456,1.5091359615325928,vanilla,extrap,u_coarse,40,170,151
36,0,13.66592788696289,4.02427339553833,0.06734750419855118,59.75386047363281,3.516890287399292,0.00010364127956563607,vanilla,extrap,u_coarse,40,170,87
37,8,14.922565460205078,2.810577869415283,0.05067544803023338,55.462318420410156,3.4488511085510254,0.9753248691558838,vanilla,extrap,u_coarse,40,170,87
38,16,16.179203033447266,3.2899277210235596,0.0014187900815159082,2318.826171875,3.3066492080688477,0.9935957193374634,vanilla,extrap,u_coarse,40,170,87
39,24,17.43583869934082,2.886085033416748,0.012925779446959496,223.28131103515625,2.4326553344726562,1.1691758632659912,vanilla,extrap,u_coarse,40,170,87
40,32,18.692476272583008,4.222322463989258,0.05080185458064079,83.1135482788086,3.4666402339935303,1.5953205823898315,vanilla,extrap,u_coarse,40,170,87
41,40,19.949113845825195,4.196568489074707,0.002476559951901436,1694.5152587890625,3.5223124027252197,1.5036091804504395,vanilla,extrap,u_coarse,40,170,87
42,0,13.351768493652344,3.066239595413208,0.0617498941719532,49.65578842163086,3.2681491374969482,5.476556907524355e-05,vanilla,extrap,u_coarse,40,170,85
43,8,14.608406066894531,3.543180227279663,0.007065656594932079,501.4651184082031,3.4611105918884277,1.0473471879959106,vanilla,extrap,u_coarse,40,170,85
44,16,15.865042686462402,2.562229871749878,0.05008869990706444,51.15385055541992,3.3815791606903076,1.071412444114685,vanilla,extrap,u_coarse,40,170,85
45,24,17.121679306030273,2.0396766662597656,0.060116078704595566,33.92897033691406,3.3334107398986816,1.1519595384597778,vanilla,extrap,u_coarse,40,170,85
46,32,18.37831687927246,2.2096147537231445,0.016165083274245262,136.69058227539062,3.2794270515441895,1.8628431558609009,vanilla,extrap,u_coarse,40,170,85
47,40,19.63495445251465,3.6075422763824463,0.09108206629753113,39.607601165771484,3.55326509475708,1.581507921218872,vanilla,extrap,u_coarse,40,170,85
48,0,21.04867172241211,2.7509520053863525,0.06175391003489494,44.5470085144043,3.265819787979126,7.157572690630332e-05,vanilla,extrap,u_coarse,40,170,134
49,8,22.305307388305664,2.797285795211792,0.010048618540167809,278.3751525878906,2.8027193546295166,0.9322235584259033,vanilla,extrap,u_coarse,40,170,134
50,16,23.56194496154785,2.9765264987945557,0.010647031478583813,279.5639953613281,3.3238351345062256,1.0921908617019653,vanilla,extrap,u_coarse,40,170,134
51,24,24.81858253479004,3.799624443054199,0.010845279321074486,350.3482360839844,3.218189001083374,1.5822170972824097,vanilla,extrap,u_coarse,40,170,134
