,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
stiefel,0.111454230312258,0.048792131444569294,1000,0.16441269738972186,0.07071660745244,1000,0.1323667840361595,0.059788767269679,1000,6.095044665396213,3.5967389747264766,1000,0.04889957440592116,0.06291284048566421,1000,0.001542942672591606,0.0022362554794974777,0.001890686830659123,0.11373887309234458,0.0019894787000555273
vanilla,0.1124874177146703,0.05060294612823402,1000,0.16828610204905273,0.07481224388871198,1000,0.13335765992105006,0.0582458837233637,1000,6.071760249614716,3.318766800289047,1000,0.046747530732187445,0.05518161718711982,1000,0.0016002056608001845,0.0023657708755634227,0.0018418965689515805,0.10494862111862548,0.001744995952827925
curvature,0.1311345073953271,0.06600892092633182,1000,0.19004811377450823,0.10155784725356505,1000,0.14538813379779458,0.07006549788352505,1000,6.661204699635506,4.030514476636302,1000,0.05918012702674605,0.0774280109360319,1000,0.0020873853601716015,0.0032115411158474137,0.0022156655870564615,0.12745605888452227,0.0024484886925428663
stoch_iso,0.13130538986995816,0.06544430863166119,1000,0.19026611002534627,0.09320631387026243,1000,0.1491267595924437,0.07563572858358701,1000,6.856304371476173,4.331271706879051,1000,0.0642090471793199,0.08827981908948343,1000,0.002069530751710668,0.0029474424413857303,0.0023918117481043616,0.1369668375878299,0.0027916529975037948
operator_norm,0.1323634367361665,0.0655240613251629,1000,0.18957212713733315,0.09046680849213039,1000,0.15207275777682663,0.07439173294014227,1000,6.973383112311363,4.284201285150709,1000,0.06539462706493214,0.08568904394284538,1000,0.0020720527533206554,0.0028608116748139495,0.0023524731517782405,0.13547834015696747,0.0027097254938164652
