step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,window_id,mu_id,k0,run
0,19.006635665893555,2.465817451477051,0.012973932549357414,190.0593719482422,3.297719955444336,0.00015528571384493262,vanilla,extrap,u_fine,240,0,170,605,3
48,20.51460075378418,3.2376232147216797,0.0054553197696805,593.47998046875,3.090512275695801,1.627951979637146,vanilla,extrap,u_fine,240,0,170,605,3
96,22.022563934326172,1.9284553527832031,0.03106786496937275,62.072349548339844,3.3747119903564453,1.1385530233383179,vanilla,extrap,u_fine,240,0,170,605,3
144,23.530529022216797,2.021895170211792,0.006688857451081276,302.2781066894531,3.339890956878662,1.0621072053909302,vanilla,extrap,u_fine,240,0,170,605,3
192,25.038494110107422,2.6355810165405273,0.010011737234890461,263.2491149902344,3.3436696529388428,1.5432369709014893,vanilla,extrap,u_fine,240,0,170,605,3
240,26.546457290649414,2.840824842453003,0.06706659495830536,42.35826873779297,3.2693376541137695,2.061535596847534,vanilla,extrap,u_fine,240,0,170,605,3
0,22.14822769165039,1.445509433746338,0.0539945513010025,26.771394729614258,3.3114781379699707,9.743813279783353e-05,vanilla,extrap,u_fine,240,1,170,705,3
48,23.656192779541016,1.8836981058120728,0.0038743491750210524,486.1972961425781,3.1804468631744385,1.0682529211044312,vanilla,extrap,u_fine,240,1,170,705,3
96,25.16415786743164,2.5322160720825195,0.0255033690482378,99.28947448730469,3.2488529682159424,1.4138779640197754,vanilla,extrap,u_fine,240,1,170,705,3
144,26.672121047973633,2.5411159992218018,0.028889348730444908,87.9603042602539,3.4039604663848877,1.778175711631775,vanilla,extrap,u_fine,240,1,170,705,3
192,28.180086135864258,2.460965871810913,0.02649068459868431,92.8992919921875,3.3228256702423096,1.3364306688308716,vanilla,extrap,u_fine,240,1,170,705,3
240,29.688051223754883,2.247349739074707,0.007288014516234398,308.3624267578125,3.2634060382843018,1.0376770496368408,vanilla,extrap,u_fine,240,1,170,705,3
0,18.31548500061035,1.631075143814087,0.0013768739299848676,1184.6219482421875,3.3152670860290527,0.00011659467418212444,vanilla,extrap,u_fine,240,2,170,583,3
48,19.823450088500977,2.540748357772827,0.06643448024988174,38.244422912597656,3.164823055267334,2.1644229888916016,vanilla,extrap,u_fine,240,2,170,583,3
96,21.33141326904297,2.259143590927124,0.07314258813858032,30.886842727661133,3.38081955909729,1.7155542373657227,vanilla,extrap,u_fine,240,2,170,583,3
144,22.839378356933594,1.52260160446167,0.001663320348598063,915.3988647460938,3.340553045272827,1.2028940916061401,vanilla,extrap,u_fine,240,2,170,583,3
192,24.34734344482422,1.632948398590088,0.0013968062121421099,1169.0587158203125,3.2592554092407227,1.3082715272903442,vanilla,extrap,u_fine,240,2,170,583,3
240,25.85530662536621,2.5853142738342285,0.04356938600540161,59.33786392211914,3.2710790634155273,1.9696224927902222,vanilla,extrap,u_fine,240,2,170,583,3
0,17.687166213989258,1.3574401140213013,0.010555896908044815,128.59542846679688,3.2995097637176514,9.50065950746648e-05,vanilla,extrap,u_fine,240,3,170,563,3
48,19.195131301879883,2.502824306488037,0.07597547024488449,32.94253158569336,3.214913845062256,1.7279561758041382,vanilla,extrap,u_fine,240,3,170,563,3
96,20.703096389770508,3.0536272525787354,0.023414695635437965,130.4149932861328,3.372563600540161,1.698786973953247,vanilla,extrap,u_fine,240,3,170,563,3
144,22.2110595703125,1.7553170919418335,0.04685309901833534,37.46426773071289,3.3380846977233887,1.5232198238372803,vanilla,extrap,u_fine,240,3,170,563,3
192,23.719024658203125,1.8454415798187256,0.006755370646715164,273.181396484375,3.2457973957061768,1.249258041381836,vanilla,extrap,u_fine,240,3,170,563,3
240,25.22698974609375,2.6649224758148193,0.026675889268517494,99.90003967285156,3.230011463165283,1.7262483835220337,vanilla,extrap,u_fine,240,3,170,563,3
0,22.179643630981445,1.4699503183364868,0.049744922667741776,29.549755096435547,3.3099822998046875,0.00017273049161303788,vanilla,extrap,u_fine,240,4,170,706,3
48,23.68760871887207,1.9022939205169678,0.0072945342399179935,260.7834777832031,3.1809542179107666,1.0690386295318604,vanilla,extrap,u_fine,240,4,170,706,3
96,25.195573806762695,2.5540456771850586,0.03650745749473572,69.95955657958984,3.250462532043457,1.4291235208511353,vanilla,extrap,u_fine,240,4,170,706,3
144,26.703536987304688,2.745230197906494,0.010898654349148273,251.8870849609375,3.400214672088623,1.7355365753173828,vanilla,extrap,u_fine,240,4,170,706,3
192,28.211502075195312,2.3690152168273926,0.026962973177433014,87.8617935180664,3.3227148056030273,1.325403094291687,vanilla,extrap,u_fine,240,4,170,706,3
240,29.719467163085938,2.1187984943389893,0.0015578072052448988,1360.115966796875,3.262237548828125,1.0435614585876465,vanilla,extrap,u_fine,240,4,170,706,3
0,22.87079429626465,1.2647523880004883,0.00870936643332243,145.21749877929688,3.2901406288146973,0.0001632329513086006,vanilla,extrap,u_fine,240,5,170,728,3
48,24.378759384155273,1.763540506362915,0.025109577924013138,70.23377990722656,3.1091179847717285,0.9229625463485718,vanilla,extrap,u_fine,240,5,170,728,3
96,25.886722564697266,2.7637810707092285,0.051862768828868866,53.2902717590332,3.3314199447631836,1.8541395664215088,vanilla,extrap,u_fine,240,5,170,728,3
144,27.39468765258789,2.5375537872314453,0.01931753195822239,131.36013793945312,3.3322627544403076,1.7113494873046875,vanilla,extrap,u_fine,240,5,170,728,3
192,28.902652740478516,1.6391404867172241,0.028591835871338844,57.3289680480957,3.3050363063812256,1.1934316158294678,vanilla,extrap,u_fine,240,5,170,728,3
240,30.41061782836914,1.9111082553863525,0.005149440374225378,371.1293029785156,3.2379472255706787,1.2381439208984375,vanilla,extrap,u_fine,240,5,170,728,3
0,16.367698669433594,1.2895439863204956,0.014340423978865147,89.92369842529297,3.294853925704956,8.364207315025851e-05,vanilla,extrap,u_fine,240,6,170,521,3
48,17.875661849975586,2.26151442527771,0.006856023799628019,329.8580322265625,3.157205820083618,0.8956249356269836,vanilla,extrap,u_fine,240,6,170,521,3
96,19.38362693786621,2.767965316772461,0.05365796014666557,51.58536148071289,3.3048667907714844,1.7858951091766357,vanilla,extrap,u_fine,240,6,170,521,3
144,20.891592025756836,2.5035626888275146,0.025143533945083618,99.57083892822266,3.346182346343994,1.6165038347244263,vanilla,extrap,u_fine,240,6,170,521,3
192,22.399555206298828,1.8854012489318848,0.024039117619395256,78.43054962158203,3.315690040588379,1.3139879703521729,vanilla,extrap,u_fine,240,6,170,521,3
240,23.907520294189453,2.0216546058654785,0.03240012004971504,62.396514892578125,3.256269931793213,1.2670092582702637,vanilla,extrap,u_fine,240,6,170,521,3
0,16.21061897277832,1.3096964359283447,0.040810901671648026,32.091827392578125,3.298872709274292,9.320889512309805e-05,vanilla,extrap,u_fine,240,7,170,516,3
48,17.718582153320312,2.0992910861968994,0.005774602293968201,363.53863525390625,3.1737911701202393,0.9485599994659424,vanilla,extrap,u_fine,240,7,170,516,3
96,19.226547241210938,2.7089245319366455,0.08338169008493423,32.488243103027344,3.2830710411071777,1.6740719079971313,vanilla,extrap,u_fine,240,7,170,516,3
144,20.734512329101562,2.9877707958221436,0.021187352016568184,141.01670837402344,3.359248638153076,1.5243948698043823,vanilla,extrap,u_fine,240,7,170,516,3
192,22.242475509643555,1.6959201097488403,0.04438111558556557,38.212650299072266,3.320509433746338,1.34971022605896,vanilla,extrap,u_fine,240,7,170,516,3
240,23.75044059753418,1.8059064149856567,0.010661456733942032,169.38645935058594,3.2584965229034424,1.2157233953475952,vanilla,extrap,u_fine,240,7,170,516,3
0,21.20574951171875,2.0946900844573975,0.03449815511703491,60.718902587890625,3.3057785034179688,0.00011683595948852599,vanilla,extrap,u_fine,240,8,170,675,3
48,22.713714599609375,1.2951046228408813,0.007768670562654734,166.70864868164062,3.1161856651306152,0.7747671008110046,vanilla,extrap,u_fine,240,8,170,675,3
96,24.2216796875,2.2073042392730713,0.010496168397367,210.2961883544922,3.2880046367645264,1.1779316663742065,vanilla,extrap,u_fine,240,8,170,675,3
144,25.729644775390625,2.5753426551818848,0.04310542717576027,59.74520492553711,3.426231861114502,1.8658720254898071,vanilla,extrap,u_fine,240,8,170,675,3
192,27.237607955932617,2.5829620361328125,0.02945162169635296,87.70185852050781,3.259502410888672,1.6946247816085815,vanilla,extrap,u_fine,240,8,170,675,3
240,28.745573043823242,1.6559782028198242,0.03317366540431976,49.91845703125,3.309523820877075,1.1869425773620605,vanilla,extrap,u_fine,240,8,170,675,3
0,18.472564697265625,2.2021145820617676,0.0025321238208562136,869.6709594726562,3.3174593448638916,0.0001300496223848313,vanilla,extrap,u_fine,240,9,170,588,3
48,19.98052978515625,2.6041104793548584,0.041096869856119156,63.365177154541016,3.1478891372680664,2.188544511795044,vanilla,extrap,u_fine,240,9,170,588,3
96,21.488492965698242,2.513767719268799,0.06862782686948776,36.62898635864258,3.3846991062164307,1.551948070526123,vanilla,extrap,u_fine,240,9,170,588,3
144,22.996458053588867,1.5690199136734009,0.0006677156779915094,2349.832275390625,3.3381145000457764,1.1434348821640015,vanilla,extrap,u_fine,240,9,170,588,3
192,24.504423141479492,1.92540442943573,0.009307289496064186,206.87059020996094,3.2729904651641846,1.3213673830032349,vanilla,extrap,u_fine,240,9,170,588,3
240,26.012386322021484,2.939483880996704,0.028218738734722137,104.16780090332031,3.277106285095215,1.942691683769226,vanilla,extrap,u_fine,240,9,170,588,3
0,20.420352935791016,2.0638070106506348,0.006833711173385382,302.00384521484375,3.076364278793335,0.00014830843429081142,vanilla,extrap,u_fine,240,10,127,650,3
48,21.928316116333008,2.367257833480835,0.006023119669407606,393.0285339355469,3.3112101554870605,0.5598543882369995,vanilla,extrap,u_fine,240,10,127,650,3
96,23.436281204223633,2.6056220531463623,0.04830602928996086,53.93989181518555,3.362534284591675,0.8753389120101929,vanilla,extrap,u_fine,240,10,127,650,3
144,24.944246292114258,2.7940173149108887,0.017877032980322838,156.29087829589844,3.447636842727661,1.092840552330017,vanilla,extrap,u_fine,240,10,127,650,3
192,26.45220947265625,1.767194151878357,0.03221319615840912,54.85932540893555,3.3900575637817383,1.0664314031600952,vanilla,extrap,u_fine,240,10,127,650,3
240,27.960174560546875,1.826656460762024,0.00966633576899767,188.97093200683594,3.239320755004883,1.0703951120376587,vanilla,extrap,u_fine,240,10,127,650,3
0,16.964599609375,1.990066647529602,0.027382967993617058,72.67534637451172,3.325688362121582,0.00010301145812263712,vanilla,extrap,u_fine,240,11,127,540,3
48,18.472564697265625,2.601278066635132,0.01878911629319191,138.4459991455078,3.3718128204345703,1.1736723184585571,vanilla,extrap,u_fine,240,11,127,540,3
96,19.98052978515625,1.860359787940979,0.007374417036771774,252.27210998535156,3.3931593894958496,1.0532160997390747,vanilla,extrap,u_fine,240,11,127,540,3
144,21.488492965698242,1.7498165369033813,0.012811332941055298,136.58348083496094,3.29258131980896,1.0555185079574585,vanilla,extrap,u_fine,240,11,127,540,3
192,22.996458053588867,2.3491334915161133,0.04085325449705124,57.501747131347656,3.299781084060669,1.183933973312378,vanilla,extrap,u_fine,240,11,127,540,3
240,24.504423141479492,2.533914566040039,0.008515737019479275,297.55670166015625,3.2134194374084473,1.3884769678115845,vanilla,extrap,u_fine,240,11,127,540,3
0,22.74513053894043,2.3425753116607666,0.03921458125114441,59.73735427856445,3.3107852935791016,0.00010273123916704208,vanilla,extrap,u_fine,240,12,127,724,3
48,24.253095626831055,2.937664747238159,0.013847948983311653,212.13717651367188,3.1916182041168213,1.38214111328125,vanilla,extrap,u_fine,240,12,127,724,3
96,25.761058807373047,2.209664821624756,0.033205948770046234,66.54424285888672,3.39560866355896,1.231123447418213,vanilla,extrap,u_fine,240,12,127,724,3
144,27.269023895263672,2.2991442680358887,0.008341612294316292,275.62347412109375,3.329288959503174,0.9555891156196594,vanilla,extrap,u_fine,240,12,127,724,3
192,28.776988983154297,2.422495126724243,0.02593305893242359,93.41339874267578,3.3278868198394775,1.0994105339050293,vanilla,extrap,u_fine,240,12,127,724,3
240,30.284954071044922,2.398963451385498,0.030247721821069717,79.310546875,3.267460346221924,1.3834983110427856,vanilla,extrap,u_fine,240,12,127,724,3
0,19.415042877197266,1.9004340171813965,0.0008975741220638156,2117.30029296875,3.2763636112213135,0.00011910370085388422,vanilla,extrap,u_fine,240,13,127,618,3
48,20.92300796508789,1.6330416202545166,0.014431214891374111,113.16036987304688,3.3199479579925537,0.4742165207862854,vanilla,extrap,u_fine,240,13,127,618,3
96,22.430971145629883,2.422342538833618,0.04051872342824936,59.783287048339844,3.379326820373535,0.5096436738967896,vanilla,extrap,u_fine,240,13,127,618,3
144,23.938936233520508,2.545999050140381,0.03395305946469307,74.98584747314453,3.382948875427246,1.1301188468933105,vanilla,extrap,u_fine,240,13,127,618,3
192,25.446901321411133,2.8498284816741943,0.024066997691988945,118.41230010986328,3.5203163623809814,1.1832339763641357,vanilla,extrap,u_fine,240,13,127,618,3
240,26.954864501953125,1.8699061870574951,0.016468727961182594,113.54283905029297,3.096606969833374,1.0723340511322021,vanilla,extrap,u_fine,240,13,127,618,3
0,23.027873992919922,2.3468000888824463,0.004547447431832552,516.0697631835938,3.3239779472351074,0.00011677782458718866,vanilla,extrap,u_fine,240,14,127,733,3
48,24.535839080810547,2.4622867107391357,0.0038581709377467632,638.2005004882812,3.296391725540161,1.3894566297531128,vanilla,extrap,u_fine,240,14,127,733,3
96,26.04380226135254,2.4443047046661377,0.013938113115727901,175.368408203125,3.4011805057525635,1.1991004943847656,vanilla,extrap,u_fine,240,14,127,733,3
144,27.551767349243164,2.48852801322937,0.0035594261717051268,699.1373901367188,3.306250810623169,1.047879934310913,vanilla,extrap,u_fine,240,14,127,733,3
192,29.05973243713379,2.252091407775879,0.04224880412220955,53.30544662475586,3.3151042461395264,1.2565468549728394,vanilla,extrap,u_fine,240,14,127,733,3
240,30.56769561767578,2.769984483718872,0.04265328869223595,64.9418716430664,3.218254804611206,1.3830254077911377,vanilla,extrap,u_fine,240,14,127,733,3
0,22.242475509643555,1.9835944175720215,0.004485114477574825,442.26171875,3.277024984359741,0.00012854310625698417,vanilla,extrap,u_fine,240,15,127,708,3
48,23.75044059753418,2.039062261581421,0.032617248594760895,62.51484680175781,3.0953476428985596,1.037805438041687,vanilla,extrap,u_fine,240,15,127,708,3
96,25.258405685424805,2.770137310028076,0.026402942836284637,104.9177474975586,3.2790656089782715,1.226515769958496,vanilla,extrap,u_fine,240,15,127,708,3
144,26.766368865966797,2.120093584060669,0.03269115835428238,64.85220336914062,3.3821523189544678,1.0333786010742188,vanilla,extrap,u_fine,240,15,127,708,3
192,28.274333953857422,2.691453695297241,0.0012310672318562865,2186.27685546875,3.332160234451294,1.1240451335906982,vanilla,extrap,u_fine,240,15,127,708,3
240,29.782299041748047,2.5190188884735107,0.02955259382724762,85.2385025024414,3.3043882846832275,1.3842833042144775,vanilla,extrap,u_fine,240,15,127,708,3
0,21.488492965698242,1.6424845457077026,0.008465610444545746,194.01844787597656,3.200096607208252,0.0001742052991176024,vanilla,extrap,u_fine,240,16,127,684,3
48,22.996458053588867,2.334629774093628,0.02734142728149891,85.38800048828125,3.053847312927246,0.6490691304206848,vanilla,extrap,u_fine,240,16,127,684,3
96,24.504423141479492,2.6000287532806396,0.002327440306544304,1117.119384765625,3.275442123413086,1.4155186414718628,vanilla,extrap,u_fine,240,16,127,684,3
144,26.012386322021484,2.6248579025268555,0.004420795477926731,593.7523803710938,3.450298309326172,1.1822731494903564,vanilla,extrap,u_fine,240,16,127,684,3
192,27.52035140991211,2.5733232498168945,0.00725360494107008,354.7647399902344,3.3377182483673096,0.9782736897468567,vanilla,extrap,u_fine,240,16,127,684,3
240,29.028316497802734,2.2927072048187256,0.04287465661764145,53.474647521972656,3.315538167953491,1.1098459959030151,vanilla,extrap,u_fine,240,16,127,684,3
0,17.592918395996094,2.4899168014526367,0.0518980547785759,47.977073669433594,3.3169984817504883,0.00021422207646537572,vanilla,extrap,u_fine,240,17,127,560,3
48,19.10088348388672,2.666262626647949,0.02314155362546444,115.21537017822266,3.3727469444274902,0.9649323225021362,vanilla,extrap,u_fine,240,17,127,560,3
96,20.608848571777344,1.673388123512268,0.0035908850841224194,466.00994873046875,3.3625102043151855,0.8811046481132507,vanilla,extrap,u_fine,240,17,127,560,3
144,22.116811752319336,2.4734411239624023,0.011498219333589077,215.11514282226562,3.2952680587768555,0.8499945998191833,vanilla,extrap,u_fine,240,17,127,560,3
