,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
stiefel,0.10460442360304296,0.058297855668902436,1000,0.15540516575053334,0.09138102603689703,1000,0.1278754545878619,0.08660637911531156,1000,5.848377340197564,4.501365493973891,1000,0.05316947916720528,0.09066158541824673,1000,0.001843540066174907,0.002889721771997445,0.0027387341790442304,0.14234567541846438,0.0028669710620356894
vanilla,0.10757542932964861,0.06245192033187102,1000,0.16424476677551866,0.10105474803185098,1000,0.1389033832103014,0.09800472105048581,1000,6.368985382139683,5.183370204976959,1000,0.06582464273867664,0.13224604835694667,1000,0.001974903125000911,0.0031956317215506686,0.00309918139968985,0.1639125580358103,0.004181987243647197
operator_norm,0.11948467470891774,0.06537103410727796,1000,0.17845436165481807,0.10741010867557535,1000,0.14818793885223566,0.10307736263394614,1000,6.689043594121933,4.9599928410679635,1000,0.06769553844840266,0.11247023242057173,1000,0.0020672136077955028,0.0033966058714102977,0.003259592411264027,0.15684874555904313,0.0035566210341751938
curvature,0.12148860754445195,0.06384888952458978,1000,0.17354475627280772,0.09171962451803425,1000,0.1370588790755719,0.07772641683105909,1000,6.313239120006561,4.434437592122523,1000,0.058106992575805635,0.09043622381384003,1000,0.002019079169701691,0.002900429196124117,0.002457925115497937,0.14022922932979917,0.0028598445023649394
stoch_iso,0.125586362445727,0.060242279376010566,1000,0.18310289296507837,0.08906964306437201,1000,0.14885892987065016,0.07348150381055893,1000,6.776518804967403,4.152480654531586,1000,0.06166705020249356,0.08096920297695805,1000,0.0019050281426838051,0.0028166294246163505,0.0023236891793570816,0.13131296808106604,0.002560471017356735
