,metric,method,n,delta_mean,delta_median,p_less,p_two_sided
2,rel_mean,stiefel,986,-0.009925816423480699,-0.008758734446018934,1.0130067022449525e-160,2.026013404489905e-160
1,rel_mean,operator_norm,986,-0.008557466663510876,-0.007849032990634441,2.6145216506614294e-158,5.229043301322859e-158
0,rel_mean,curvature,986,-0.007493193295329023,-0.006665064953267574,1.0568031173581963e-153,2.1136062347163926e-153
3,rel_mean,stoch_iso,986,-0.005255906324093108,-0.004811231978237629,2.495740331700171e-119,4.991480663400342e-119
