step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,window_id,mu_id,k0,run
160,23.310617446899414,2.35370135307312,0.014925971627235413,157.69166564941406,3.247542381286621,1.467872142791748,vanilla,extrap,u_fine,160,3,170,582,1
0,24.190263748168945,2.27933406829834,0.01268610917031765,179.67164611816406,3.366063356399536,0.00011453974002506584,vanilla,extrap,u_fine,160,4,170,770,1
32,25.195573806762695,2.3049864768981934,0.01905394159257412,120.97163391113281,3.4794232845306396,2.0588018894195557,vanilla,extrap,u_fine,160,4,170,770,1
64,26.200881958007812,3.484724760055542,0.01889394223690033,184.4360809326172,3.3852038383483887,2.201875925064087,vanilla,extrap,u_fine,160,4,170,770,1
96,27.206192016601562,2.805255174636841,0.01952006295323372,143.7113800048828,3.4977972507476807,2.256113290786743,vanilla,extrap,u_fine,160,4,170,770,1
128,28.211502075195312,2.0830039978027344,0.022426458075642586,92.88153839111328,3.4372897148132324,1.7914111614227295,vanilla,extrap,u_fine,160,4,170,770,1
160,29.216812133789062,2.0120956897735596,0.007920685224235058,254.03050231933594,3.1391990184783936,1.687617540359497,vanilla,extrap,u_fine,160,4,170,770,1
0,25.10132598876953,2.751371383666992,0.03809693828225136,72.22027587890625,3.451359987258911,0.00017291679978370667,vanilla,extrap,u_fine,160,5,170,799,1
32,26.10663414001465,3.089728832244873,0.04780849814414978,64.62718963623047,3.525352716445923,2.2737364768981934,vanilla,extrap,u_fine,160,5,170,799,1
64,27.1119441986084,2.976733922958374,0.02604321949183941,114.29976654052734,3.3678438663482666,2.0028369426727295,vanilla,extrap,u_fine,160,5,170,799,1
96,28.11725425720215,2.016613483428955,0.017051342874765396,118.26713562011719,3.444721221923828,1.612226128578186,vanilla,extrap,u_fine,160,5,170,799,1
128,29.1225643157959,2.4397976398468018,0.013838933780789375,176.29954528808594,3.3654348850250244,1.506988525390625,vanilla,extrap,u_fine,160,5,170,799,1
160,30.12787437438965,2.5900075435638428,0.017518173903226852,147.84689331054688,3.3186349868774414,2.1291415691375732,vanilla,extrap,u_fine,160,5,170,799,1
0,16.55619239807129,2.33215594291687,0.021075770258903503,110.6557846069336,3.3158795833587646,9.953893459169194e-05,vanilla,extrap,u_fine,160,6,170,527,1
32,17.56150245666504,2.138561964035034,0.0002128174528479576,10048.8095703125,3.3620541095733643,0.9747875928878784,vanilla,extrap,u_fine,160,6,170,527,1
64,18.56681251525879,2.6580617427825928,0.01650715433061123,161.0248260498047,3.335336208343506,2.177215814590454,vanilla,extrap,u_fine,160,6,170,527,1
96,19.57212257385254,3.4617791175842285,0.036528073251247406,94.77037048339844,3.522122621536255,2.441464424133301,vanilla,extrap,u_fine,160,6,170,527,1
128,20.57743263244629,3.201099157333374,0.005988564342260361,534.5353393554688,3.5085549354553223,2.389225482940674,vanilla,extrap,u_fine,160,6,170,527,1
160,21.582740783691406,2.3807194232940674,0.012117926962673664,196.4626007080078,2.8601157665252686,2.1815178394317627,vanilla,extrap,u_fine,160,6,170,527,1
0,16.33628273010254,1.8315184116363525,0.021329453215003014,85.8680419921875,3.326629400253296,0.00010145263513550162,vanilla,extrap,u_fine,160,7,170,520,1
32,17.341590881347656,2.3747973442077637,0.011981599032878876,198.20370483398438,3.3435585498809814,0.7926169633865356,vanilla,extrap,u_fine,160,7,170,520,1
64,18.346900939941406,2.1494007110595703,0.02455475740134716,87.53500366210938,3.3535711765289307,1.9374839067459106,vanilla,extrap,u_fine,160,7,170,520,1
96,19.352210998535156,4.005504131317139,0.042040616273880005,95.27700805664062,3.515693426132202,2.5856614112854004,vanilla,extrap,u_fine,160,7,170,520,1
128,20.357521057128906,3.881572961807251,0.008735287003219128,444.35552978515625,3.5189356803894043,2.3604297637939453,vanilla,extrap,u_fine,160,7,170,520,1
160,21.362829208374023,2.382690668106079,0.006206443067640066,383.9059753417969,2.915371894836426,2.47027850151062,vanilla,extrap,u_fine,160,7,170,520,1
0,22.902210235595703,2.1138343811035156,0.017663713544607162,119.67100524902344,3.313481569290161,0.0001297946582781151,vanilla,extrap,u_fine,160,8,170,729,1
32,23.907520294189453,2.193305015563965,0.01764722727239132,124.28609466552734,3.3711490631103516,1.098426103591919,vanilla,extrap,u_fine,160,8,170,729,1
64,24.912830352783203,2.847257375717163,0.021128788590431213,134.7572479248047,3.3240859508514404,2.286576509475708,vanilla,extrap,u_fine,160,8,170,729,1
96,25.91813850402832,2.9654061794281006,0.05640338361263275,52.57497024536133,3.5216896533966064,2.4501354694366455,vanilla,extrap,u_fine,160,8,170,729,1
128,26.92344856262207,3.1535253524780273,0.016374383121728897,192.58895874023438,3.501847267150879,2.5718817710876465,vanilla,extrap,u_fine,160,8,170,729,1
160,27.92875862121582,2.2119357585906982,0.017167596146464348,128.84364318847656,2.8470280170440674,2.3100271224975586,vanilla,extrap,u_fine,160,8,170,729,1
0,19.3207950592041,2.5313150882720947,0.05114789307117462,49.490116119384766,3.480637311935425,8.912150224205106e-05,vanilla,extrap,u_fine,160,9,170,615,1
32,20.32610511779785,3.4118762016296387,0.014997055754065514,227.50306701660156,3.5092670917510986,2.02606463432312,vanilla,extrap,u_fine,160,9,170,615,1
64,21.33141326904297,2.0517921447753906,0.011379940435290337,180.2990264892578,3.4042274951934814,1.580990195274353,vanilla,extrap,u_fine,160,9,170,615,1
96,22.33672332763672,1.9456305503845215,0.013184994459152222,147.56399536132812,3.373464345932007,1.3294637203216553,vanilla,extrap,u_fine,160,9,170,615,1
128,23.34203338623047,2.1443679332733154,0.0017193830572068691,1247.1728515625,3.3445355892181396,1.1193968057632446,vanilla,extrap,u_fine,160,9,170,615,1
160,24.34734344482422,2.3833320140838623,0.004756389185786247,501.0801086425781,3.3682000637054443,2.004967212677002,vanilla,extrap,u_fine,160,9,170,615,1
0,21.8654842376709,2.3734147548675537,0.020034633576869965,118.46559143066406,3.370955228805542,0.00011055241338908672,vanilla,extrap,u_fine,160,10,127,696,1
32,22.87079429626465,3.167283535003662,0.02285410650074482,138.58706665039062,3.4768893718719482,0.7706688046455383,vanilla,extrap,u_fine,160,10,127,696,1
64,23.8761043548584,3.443392038345337,0.023564349859952927,146.12718200683594,3.3631579875946045,1.5486798286437988,vanilla,extrap,u_fine,160,10,127,696,1
96,24.88141441345215,3.6264002323150635,0.05179668962955475,70.01219940185547,3.462268590927124,1.1875146627426147,vanilla,extrap,u_fine,160,10,127,696,1
128,25.886722564697266,2.3324050903320312,0.01635011099278927,142.65377807617188,3.3314948081970215,1.061877965927124,vanilla,extrap,u_fine,160,10,127,696,1
160,26.892032623291016,1.7025247812271118,0.024089733138680458,70.6742935180664,3.1852774620056152,1.09181809425354,vanilla,extrap,u_fine,160,10,127,696,1
0,17.341590881347656,3.9941506385803223,0.013892079703509808,287.5127868652344,3.502782106399536,0.00011866834393003955,vanilla,extrap,u_fine,160,11,127,552,1
32,18.346900939941406,3.7083561420440674,0.02146350033581257,172.77499389648438,3.509536027908325,1.4338668584823608,vanilla,extrap,u_fine,160,11,127,552,1
64,19.352210998535156,2.0061230659484863,0.013930381275713444,144.01063537597656,2.897409200668335,1.1075936555862427,vanilla,extrap,u_fine,160,11,127,552,1
96,20.357521057128906,1.6392908096313477,0.0011562776053324342,1417.731201171875,3.354308843612671,1.2876086235046387,vanilla,extrap,u_fine,160,11,127,552,1
128,21.362829208374023,2.557246446609497,0.03304043412208557,77.3974838256836,3.3221778869628906,1.0385911464691162,vanilla,extrap,u_fine,160,11,127,552,1
160,22.368139266967773,3.2783350944519043,0.018753644078969955,174.81056213378906,2.803410053253174,0.9381020665168762,vanilla,extrap,u_fine,160,11,127,552,1
0,24.912830352783203,2.544222831726074,0.004842506255954504,525.393798828125,3.3728508949279785,0.00013627437874674797,vanilla,extrap,u_fine,160,12,127,793,1
32,25.91813850402832,2.1320908069610596,0.020706186071038246,102.96878051757812,3.3375191688537598,0.7554649114608765,vanilla,extrap,u_fine,160,12,127,793,1
64,26.92344856262207,1.9322432279586792,0.006263578310608864,308.48870849609375,3.0243477821350098,1.0110704898834229,vanilla,extrap,u_fine,160,12,127,793,1
96,27.92875862121582,2.7912802696228027,0.014834757894277573,188.1581268310547,3.4011054039001465,0.9602053165435791,vanilla,extrap,u_fine,160,12,127,793,1
128,28.93406867980957,4.496395587921143,0.02738446369767189,164.19512939453125,3.4708430767059326,1.0502525568008423,vanilla,extrap,u_fine,160,12,127,793,1
160,29.93937873840332,3.519552707672119,0.010527492500841618,334.32012939453125,3.3806474208831787,1.7591438293457031,vanilla,extrap,u_fine,160,12,127,793,1
0,20.546016693115234,2.1058475971221924,0.004316927399486303,487.8116760253906,3.196870803833008,0.00010542990639805794,vanilla,extrap,u_fine,160,13,127,654,1
32,21.55132484436035,2.6584086418151855,0.0007627576705999672,3485.259765625,3.3905110359191895,0.9581957459449768,vanilla,extrap,u_fine,160,13,127,654,1
64,22.5566349029541,3.6204397678375244,0.0027792721521109343,1302.657470703125,3.420687437057495,1.2706151008605957,vanilla,extrap,u_fine,160,13,127,654,1
96,23.56194496154785,3.7582955360412598,0.02002878114581108,187.64474487304688,3.516242265701294,1.4640299081802368,vanilla,extrap,u_fine,160,13,127,654,1
128,24.5672550201416,3.812969923019409,0.016379471868276596,232.78955078125,3.5041141510009766,1.8056186437606812,vanilla,extrap,u_fine,160,13,127,654,1
160,25.57256507873535,2.9955594539642334,0.003958746325224638,756.6939697265625,3.336160182952881,1.24765145778656,vanilla,extrap,u_fine,160,13,127,654,1
0,25.28982162475586,2.697293996810913,0.000211918173590675,12727.998046875,3.2620973587036133,0.00014842880773358047,vanilla,extrap,u_fine,160,14,127,805,1
32,26.295129776000977,1.8118040561676025,0.001766323228366673,1025.7489013671875,3.306236743927002,0.8284260034561157,vanilla,extrap,u_fine,160,14,127,805,1
64,27.300439834594727,2.154193878173828,0.0021520620211958885,1000.9906005859375,3.130743980407715,0.9027286767959595,vanilla,extrap,u_fine,160,14,127,805,1
96,28.305749893188477,3.413547992706299,0.026949916034936905,126.66265869140625,3.4322216510772705,1.0202686786651611,vanilla,extrap,u_fine,160,14,127,805,1
128,29.311059951782227,2.7998428344726562,0.007558158598840237,370.4398193359375,3.51047945022583,1.231298804283142,vanilla,extrap,u_fine,160,14,127,805,1
160,30.316370010375977,3.612079381942749,0.03451746329665184,104.64498138427734,3.4638257026672363,1.8689014911651611,vanilla,extrap,u_fine,160,14,127,805,1
0,24.2216796875,2.8570568561553955,0.04907488450407982,58.21831130981445,3.4604299068450928,0.0002155219845008105,vanilla,extrap,u_fine,160,15,127,771,1
32,25.22698974609375,3.0024044513702393,0.035132117569446564,85.46038818359375,3.427849769592285,0.7783745527267456,vanilla,extrap,u_fine,160,15,127,771,1
64,26.232297897338867,1.688147783279419,0.002081336220726371,811.0884399414062,2.9878785610198975,1.1446013450622559,vanilla,extrap,u_fine,160,15,127,771,1
96,27.237607955932617,2.142036199569702,0.004447715822607279,481.6036682128906,3.3520779609680176,0.906935453414917,vanilla,extrap,u_fine,160,15,127,771,1
128,28.242918014526367,3.5297818183898926,0.017664765939116478,199.82046508789062,3.385162115097046,0.8596223592758179,vanilla,extrap,u_fine,160,15,127,771,1
160,29.248228073120117,2.3337693214416504,0.01783875562250614,130.82579040527344,3.1004233360290527,1.2113661766052246,vanilla,extrap,u_fine,160,15,127,771,1
0,23.247785568237305,3.436659574508667,0.0013327366905286908,2578.648681640625,3.4909112453460693,0.00012115896970499307,vanilla,extrap,u_fine,160,16,127,740,1
32,24.253095626831055,2.5297019481658936,0.04145463556051254,61.023380279541016,3.5220940113067627,1.4898396730422974,vanilla,extrap,u_fine,160,16,127,740,1
64,25.258405685424805,3.0157346725463867,0.03573571518063545,84.38993835449219,3.015667200088501,0.9785305261611938,vanilla,extrap,u_fine,160,16,127,740,1
96,26.263713836669922,1.8289783000946045,0.015871955081820488,115.23333740234375,3.3644397258758545,1.236282467842102,vanilla,extrap,u_fine,160,16,127,740,1
128,27.269023895263672,1.8890974521636963,0.03918035700917244,48.215423583984375,3.293471097946167,0.954121470451355,vanilla,extrap,u_fine,160,16,127,740,1
160,28.274333953857422,3.451603651046753,0.022488273680210114,153.48460388183594,2.8640246391296387,0.9310943484306335,vanilla,extrap,u_fine,160,16,127,740,1
0,18.189821243286133,2.237826347351074,0.001710789161734283,1308.066650390625,3.4259419441223145,0.00015533337136730552,vanilla,extrap,u_fine,160,17,127,579,1
32,19.195131301879883,3.063936948776245,0.0015686905244365335,1953.1812744140625,3.3918018341064453,0.7805011868476868,vanilla,extrap,u_fine,160,17,127,579,1
64,20.200441360473633,2.2409348487854004,0.002292727353051305,977.4100952148438,3.0020270347595215,1.0014172792434692,vanilla,extrap,u_fine,160,17,127,579,1
96,21.20574951171875,2.8316495418548584,0.008462771773338318,334.6007080078125,3.377297878265381,0.9056473970413208,vanilla,extrap,u_fine,160,17,127,579,1
128,22.2110595703125,2.927607774734497,0.023810287937521935,122.95558166503906,3.420783519744873,0.9653810262680054,vanilla,extrap,u_fine,160,17,127,579,1
160,23.21636962890625,3.4860999584198,0.0033853331115096807,1029.7657470703125,3.2187907695770264,1.4624425172805786,vanilla,extrap,u_fine,160,17,127,579,1
0,23.907520294189453,2.7997817993164062,0.01992136798799038,140.54164123535156,3.495659351348877,9.722266986500472e-05,vanilla,extrap,u_fine,160,18,127,761,1
32,24.912830352783203,3.718487024307251,0.03425535187125206,108.552001953125,3.4769368171691895,0.9416835308074951,vanilla,extrap,u_fine,160,18,127,761,1
64,25.91813850402832,2.01920747756958,0.010812408290803432,186.7490997314453,2.9316675662994385,1.2142372131347656,vanilla,extrap,u_fine,160,18,127,761,1
96,26.92344856262207,2.186336040496826,0.0117690060287714,185.77066040039062,3.340308904647827,1.0810924768447876,vanilla,extrap,u_fine,160,18,127,761,1
128,27.92875862121582,2.4125359058380127,0.01416371576488018,170.33213806152344,3.3426308631896973,0.8453088402748108,vanilla,extrap,u_fine,160,18,127,761,1
160,28.93406867980957,3.5740694999694824,0.02496044896543026,143.18931579589844,2.77416729927063,0.7145706415176392,vanilla,extrap,u_fine,160,18,127,761,1
0,16.27345085144043,2.6881515979766846,0.0038335458375513554,701.2180786132812,3.4306066036224365,8.996571705210954e-05,vanilla,extrap,u_fine,160,19,127,518,1
32,17.278759002685547,3.6719248294830322,0.04816165938973427,76.24166107177734,3.50893235206604,1.1695358753204346,vanilla,extrap,u_fine,160,19,127,518,1
64,18.284069061279297,3.589170217514038,0.011544816195964813,310.89019775390625,3.1496031284332275,1.560735821723938,vanilla,extrap,u_fine,160,19,127,518,1
96,19.289379119873047,2.9455065727233887,0.0006174278096295893,4770.60888671875,3.4098541736602783,1.024895191192627,vanilla,extrap,u_fine,160,19,127,518,1
128,20.294689178466797,2.1128957271575928,0.00871562771499157,242.42611694335938,3.2620065212249756,1.1142406463623047,vanilla,extrap,u_fine,160,19,127,518,1
160,21.299997329711914,3.0759694576263428,0.02747766301035881,111.9443588256836,2.778965950012207,0.9693235754966736,vanilla,extrap,u_fine,160,19,127,518,1
0,21.80265235900879,3.988834857940674,0.03144288435578346,126.85970306396484,3.4302523136138916,9.063558536581695e-05,vanilla,extrap,u_fine,160,20,102,694,1
32,22.80796241760254,3.028428792953491,0.033814650028944016,89.5596694946289,3.51074481010437,1.3646926879882812,vanilla,extrap,u_fine,160,20,102,694,1
64,23.81327247619629,2.940234422683716,0.011723094619810581,250.80702209472656,3.13922119140625,1.5997939109802246,vanilla,extrap,u_fine,160,20,102,694,1
96,24.81858253479004,3.3607234954833984,0.006338648498058319,530.1956176757812,3.3538565635681152,1.3902850151062012,vanilla,extrap,u_fine,160,20,102,694,1
128,25.823890686035156,2.2521350383758545,0.01337375957518816,168.39955139160156,3.2876203060150146,1.2427812814712524,vanilla,extrap,u_fine,160,20,102,694,1
160,26.829200744628906,2.803529977798462,0.027466965839266777,102.06915283203125,3.3017704486846924,0.93002849817276,vanilla,extrap,u_fine,160,20,102,694,1
0,20.04336166381836,2.1183595657348633,0.026043081656098366,81.34059143066406,2.968242645263672,0.00017608511552680284,vanilla,extrap,u_fine,160,21,102,638,1
32,21.04867172241211,2.3917691707611084,0.006561375688761473,364.52252197265625,3.4144115447998047,0.8402295708656311,vanilla,extrap,u_fine,160,21,102,638,1
64,22.053979873657227,4.575479984283447,0.002014014171436429,2271.821044921875,3.3980119228363037,0.9690328240394592,vanilla,extrap,u_fine,160,21,102,638,1
96,23.059289932250977,3.75460147857666,0.00977302435785532,384.18011474609375,3.4925708770751953,1.3974709510803223,vanilla,extrap,u_fine,160,21,102,638,1
128,24.064599990844727,2.678741693496704,0.0071844193153083324,372.85430908203125,3.458801746368408,1.3518571853637695,vanilla,extrap,u_fine,160,21,102,638,1
160,25.069910049438477,2.5760998725891113,0.004180341027677059,616.2415771484375,3.3748860359191895,1.174465298652649,vanilla,extrap,u_fine,160,21,102,638,1
0,26.357961654663086,2.3943123817443848,0.028645053505897522,83.58554077148438,2.9727156162261963,0.00012195376621093601,vanilla,extrap,u_fine,160,22,102,839,1
32,27.363271713256836,2.3023478984832764,0.00016957872139755636,13576.8681640625,3.413959503173828,0.9353272318840027,vanilla,extrap,u_fine,160,22,102,839,1
64,28.368581771850586,4.623936653137207,0.02274022065103054,203.33737182617188,3.3986308574676514,1.1097677946090698,vanilla,extrap,u_fine,160,22,102,839,1
96,29.373891830444336,3.6631505489349365,0.040844712406396866,89.684814453125,3.4963152408599854,1.704488754272461,vanilla,extrap,u_fine,160,22,102,839,1
128,30.379201889038086,2.561558246612549,0.029471300542354584,86.91703796386719,3.457702398300171,1.6776472330093384,vanilla,extrap,u_fine,160,22,102,839,1
160,31.384510040283203,2.086700439453125,0.007359191309660673,283.55023193359375,3.362370014190674,1.4338093996047974,vanilla,extrap,u_fine,160,22,102,839,1
0,17.84424591064453,1.7415149211883545,0.034973494708538055,49.79528045654297,3.392878532409668,0.00015226704999804497,vanilla,extrap,u_fine,160,23,102,568,1
32,18.84955596923828,3.5607337951660156,0.02565670572221279,138.78375244140625,3.356029987335205,0.7548521757125854,vanilla,extrap,u_fine,160,23,102,568,1
64,19.85486602783203,2.2139782905578613,0.004779503680765629,463.2234802246094,2.7787559032440186,0.7582752108573914,vanilla,extrap,u_fine,160,23,102,568,1
96,20.86017608642578,2.8346939086914062,0.0067938389256596565,417.2447814941406,3.401812791824341,0.692267656326294,vanilla,extrap,u_fine,160,23,102,568,1
128,21.8654842376709,4.837830066680908,0.01807023398578167,267.72369384765625,3.4593443870544434,0.7369955778121948,vanilla,extrap,u_fine,160,23,102,568,1
160,22.87079429626465,2.8377788066864014,0.05214037373661995,54.42574691772461,3.2849040031433105,1.4396165609359741,vanilla,extrap,u_fine,160,23,102,568,1
0,25.823890686035156,2.546257495880127,0.004549439065158367,559.68603515625,2.9788622856140137,0.00016692682402208447,vanilla,extrap,u_fine,160,24,102,822,1
32,26.829200744628906,3.311891555786133,0.04118980094790459,80.40562438964844,3.3333423137664795,0.8625777363777161,vanilla,extrap,u_fine,160,24,102,822,1
64,27.834510803222656,3.8491017818450928,0.0015186464879661798,2534.560791015625,3.3123836517333984,1.0892459154129028,vanilla,extrap,u_fine,160,24,102,822,1
96,28.839820861816406,3.578843832015991,0.019981862977147102,179.1046142578125,3.524568796157837,1.4838473796844482,vanilla,extrap,u_fine,160,24,102,822,1
