step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,window_id,mu_id,k0,run
0,18.001325607299805,3.57629656791687,0.03752516582608223,95.30394744873047,3.309574842453003,7.148119766497985e-05,vanilla,extrap,u_fine,320,0,170,573,15
64,20.011945724487305,4.387844562530518,0.06328818202018738,69.33118438720703,3.3656208515167236,2.0380263328552246,vanilla,extrap,u_fine,320,0,170,573,15
128,22.022563934326172,2.6475541591644287,0.011785751208662987,224.6402587890625,3.36897873878479,1.1764215230941772,vanilla,extrap,u_fine,320,0,170,573,15
192,24.033184051513672,2.882598638534546,0.012380417436361313,232.83534240722656,3.2258987426757812,1.171488881111145,vanilla,extrap,u_fine,320,0,170,573,15
256,26.04380226135254,4.214876651763916,0.042290158569812775,99.66566467285156,3.462310552597046,1.5918323993682861,vanilla,extrap,u_fine,320,0,170,573,15
320,28.05442237854004,2.75344181060791,0.004997675307095051,550.9445190429688,3.389817714691162,0.9804853796958923,vanilla,extrap,u_fine,320,0,170,573,15
0,20.169025421142578,3.5241007804870605,0.1082867980003357,32.54413986206055,3.2811288833618164,0.00011726312368409708,vanilla,extrap,u_fine,320,1,170,642,15
64,22.179643630981445,2.160128593444824,0.051785167306661606,41.7132682800293,3.2952234745025635,1.3031560182571411,vanilla,extrap,u_fine,320,1,170,642,15
128,24.190263748168945,2.7763290405273438,0.046305667608976364,59.95656967163086,3.3304176330566406,1.1129227876663208,vanilla,extrap,u_fine,320,1,170,642,15
192,26.200881958007812,3.767110824584961,0.11840752512216568,31.81479263305664,3.339528799057007,2.0032801628112793,vanilla,extrap,u_fine,320,1,170,642,15
256,28.211502075195312,2.3992011547088623,0.015886753797531128,151.0189666748047,3.3868250846862793,1.0602264404296875,vanilla,extrap,u_fine,320,1,170,642,15
320,30.222122192382812,2.4588916301727295,0.0019517791224643588,1259.8206787109375,3.35553240776062,1.590632438659668,vanilla,extrap,u_fine,320,1,170,642,15
0,17.49867057800293,2.3160414695739746,0.010783559642732143,214.7752227783203,3.2939820289611816,0.00017768528778105974,vanilla,extrap,u_fine,320,2,170,557,15
64,19.50929069519043,4.500522136688232,0.10666675120592117,42.192359924316406,3.4267873764038086,1.481886386871338,vanilla,extrap,u_fine,320,2,170,557,15
128,21.519908905029297,2.5353810787200928,0.03449451923370361,73.50098419189453,3.369940996170044,1.3357419967651367,vanilla,extrap,u_fine,320,2,170,557,15
192,23.530529022216797,2.023082971572876,0.012983834370970726,155.81552124023438,3.256582736968994,1.210651159286499,vanilla,extrap,u_fine,320,2,170,557,15
256,25.541149139404297,4.129215717315674,0.02233950048685074,184.83921813964844,3.459582567214966,1.1205533742904663,vanilla,extrap,u_fine,320,2,170,557,15
320,27.551767349243164,2.5971951484680176,0.02578635700047016,100.71974182128906,3.3915188312530518,1.4289501905441284,vanilla,extrap,u_fine,320,2,170,557,15
0,17.09026336669922,2.7403581142425537,0.00014420026855077595,19003.8359375,3.2867205142974854,0.00012515508569777012,vanilla,extrap,u_fine,320,3,170,544,15
64,19.10088348388672,4.487837791442871,0.0596611462533474,75.22211456298828,3.408952236175537,1.111006259918213,vanilla,extrap,u_fine,320,3,170,544,15
128,21.111501693725586,2.759016513824463,0.01875157654285431,147.1351776123047,3.364213228225708,1.6979949474334717,vanilla,extrap,u_fine,320,3,170,544,15
192,23.122121810913086,2.308227062225342,0.013928992673754692,165.71385192871094,3.274271249771118,1.0661249160766602,vanilla,extrap,u_fine,320,3,170,544,15
