,method,split,field,horizon,mu_id,k0,abs_mean,abs_max,abs_fin,rel_mean,rel_max,rel_fin,mse_fin
49,vanilla,extrap,u_fine,320,61,590,9.604793548583984,19.708293914794922,4.818730354309082,0.1759740114212036,0.28115013241767883,0.1388777792453766,0.02267593890428543
50,vanilla,extrap,u_fine,320,8,509,6.796260356903076,14.61721134185791,6.406378746032715,0.14775827527046204,0.2331741601228714,0.18451112508773804,0.04007977247238159
51,vanilla,extrap,u_fine,320,8,577,6.228470325469971,13.522497177124023,10.825569152832031,0.13468798995018005,0.2166048139333725,0.1924363672733307,0.1144462451338768
52,vanilla,extrap,u_fine,320,8,671,6.671902656555176,13.251322746276855,3.1181819438934326,0.13734190165996552,0.21169935166835785,0.08897175639867783,0.009495174512267113
53,vanilla,extrap,u_fine,320,8,612,6.745274543762207,12.878267288208008,12.012805938720703,0.13973009586334229,0.20579464733600616,0.20075540244579315,0.14092528820037842
54,vanilla,extrap,u_fine,320,8,563,5.81636905670166,13.313138008117676,8.5718994140625,0.1277397871017456,0.2133990079164505,0.1692880243062973,0.07175533473491669
55,vanilla,extrap,u_fine,320,8,680,6.692275524139404,13.83023452758789,3.032724142074585,0.13883113861083984,0.22072681784629822,0.09132194519042969,0.008981851860880852
56,vanilla,extrap,u_fine,320,8,609,6.716549873352051,12.935362815856934,12.558692932128906,0.13974961638450623,0.20664642751216888,0.2050986886024475,0.1540241837501526
57,vanilla,extrap,u_fine,320,8,671,6.671903133392334,13.251322746276855,3.1181819438934326,0.13734190165996552,0.21169935166835785,0.08897175639867783,0.009495174512267113
58,vanilla,extrap,u_fine,320,8,503,6.564188480377197,14.525367736816406,4.87547492980957,0.13994435966014862,0.23183633387088776,0.1452641487121582,0.023213138803839684
59,vanilla,extrap,u_fine,320,8,583,6.34236478805542,13.3285493850708,11.547314643859863,0.13614247739315033,0.21327657997608185,0.1973651498556137,0.13021531701087952
60,vanilla,extrap,u_fine,320,15,651,3.535667896270752,5.930089473724365,5.930089473724365,0.0802796334028244,0.12356527149677277,0.1106637492775917,0.034341759979724884
61,vanilla,extrap,u_fine,320,15,637,3.5687203407287598,5.313215732574463,4.53187894821167,0.08277212083339691,0.11970477551221848,0.08470521867275238,0.02005656808614731
62,vanilla,extrap,u_fine,320,15,574,3.0658555030822754,5.183309555053711,4.4924821853637695,0.07438905537128448,0.1286945939064026,0.10687603056430817,0.019709371030330658
63,vanilla,extrap,u_fine,320,15,590,3.0837836265563965,5.113287925720215,4.481689929962158,0.07459103316068649,0.12414515018463135,0.09677740931510925,0.01961478963494301
64,vanilla,extrap,u_fine,320,15,576,3.0486626625061035,5.152309894561768,4.4684271812438965,0.07401680946350098,0.12798123061656952,0.1048988401889801,0.01949886977672577
65,vanilla,extrap,u_fine,320,15,596,3.147026777267456,5.018214225769043,4.836608409881592,0.07598137855529785,0.12565048038959503,0.10088984668254852,0.02284451201558113
66,vanilla,extrap,u_fine,320,15,542,3.1255836486816406,5.028326511383057,4.594105243682861,0.07390312850475311,0.1322093904018402,0.1322093904018402,0.02061113528907299
67,vanilla,extrap,u_fine,320,15,642,3.466564178466797,4.983780384063721,4.951943397521973,0.07985550165176392,0.12118612974882126,0.09208459407091141,0.023947017267346382
68,vanilla,extrap,u_fine,320,15,514,2.7692463397979736,4.323404312133789,3.3767170906066895,0.06262420862913132,0.09609079360961914,0.09180644154548645,0.0111349793151021
69,vanilla,extrap,u_fine,320,15,575,3.0528194904327393,5.16339111328125,4.473119735717773,0.07409597933292389,0.128204345703125,0.10570289194583893,0.01953984424471855
70,vanilla,extrap,u_fine,320,3,551,6.538145542144775,12.866872787475586,5.662209987640381,0.1420411616563797,0.20432177186012268,0.16863355040550232,0.03130920231342316
71,vanilla,extrap,u_fine,320,3,633,6.4188714027404785,13.129294395446777,9.795228004455566,0.13940399885177612,0.20973531901836395,0.16899895668029785,0.09369774162769318
72,vanilla,extrap,u_fine,320,3,635,6.417881011962891,13.095847129821777,10.104695320129395,0.13883496820926666,0.20932210981845856,0.17196187376976013,0.09971177577972412
73,vanilla,extrap,u_fine,320,3,629,6.431880474090576,13.138540267944336,9.182653427124023,0.14089246094226837,0.20966453850269318,0.1630852222442627,0.08234484493732452
74,vanilla,extrap,u_fine,320,3,667,6.1372456550598145,11.22404956817627,9.329666137695312,0.12492430210113525,0.17907656729221344,0.1585569828748703,0.08500261604785919
75,vanilla,extrap,u_fine,320,3,668,6.113113880157471,11.215373039245605,9.081615447998047,0.1242203488945961,0.17891839146614075,0.15578605234622955,0.08054269850254059
76,vanilla,extrap,u_fine,320,3,534,6.615525245666504,12.580377578735352,5.129077434539795,0.14007119834423065,0.19990025460720062,0.15292170643806458,0.025690853595733643
77,vanilla,extrap,u_fine,320,3,521,6.041175842285156,12.137160301208496,5.120121002197266,0.12364561855792999,0.19326898455619812,0.14137820899486542,0.025601208209991455
78,vanilla,extrap,u_fine,320,3,524,6.175021648406982,12.28675365447998,5.153594017028809,0.12768591940402985,0.19555915892124176,0.1455681025981903,0.025937041267752647
79,vanilla,extrap,u_fine,320,3,632,6.4207916259765625,13.139997482299805,9.637710571289062,0.1397327035665512,0.20981518924236298,0.16746065020561218,0.09070846438407898
80,vanilla,extrap,u_fine,320,35,675,6.788140773773193,13.795848846435547,11.452980041503906,0.14736513793468475,0.21691468358039856,0.20226408541202545,0.12809646129608154
81,vanilla,extrap,u_fine,320,35,667,6.491576671600342,13.805463790893555,10.44195556640625,0.1417766660451889,0.2169027328491211,0.19684827327728271,0.10647894442081451
82,vanilla,extrap,u_fine,320,35,621,6.357205390930176,13.539252281188965,5.21315336227417,0.14095865190029144,0.2129739671945572,0.14016161859035492,0.026540007442235947
83,vanilla,extrap,u_fine,320,35,675,6.788140773773193,13.795848846435547,11.452980041503906,0.14736513793468475,0.21691468358039856,0.20226408541202545,0.12809646129608154
84,vanilla,extrap,u_fine,320,35,657,6.33119535446167,13.857259750366211,9.823545455932617,0.13969171047210693,0.21773841977119446,0.20193667709827423,0.09424028545618057
85,vanilla,extrap,u_fine,320,35,503,6.9914164543151855,14.480765342712402,14.480765342712402,0.1417549103498459,0.22398121654987335,0.22398121654987335,0.20477792620658875
86,vanilla,extrap,u_fine,320,35,522,7.5198564529418945,14.54759693145752,11.427389144897461,0.14786021411418915,0.22693932056427002,0.20522642135620117,0.12752464413642883
87,vanilla,extrap,u_fine,320,35,656,6.380584716796875,13.889433860778809,9.765546798706055,0.14112639427185059,0.21810419857501984,0.2024889588356018,0.09313076734542847
88,vanilla,extrap,u_fine,320,35,515,7.30081033706665,14.486529350280762,13.311629295349121,0.1446560174226761,0.2260003536939621,0.22089754045009613,0.17304636538028717
89,vanilla,extrap,u_fine,320,35,677,6.863717555999756,13.798436164855957,11.782133102416992,0.14869189262390137,0.2168855518102646,0.20490147173404694,0.13556507229804993
90,vanilla,extrap,u_fine,320,162,649,9.301308631896973,20.003103256225586,17.75589942932129,0.1876624971628189,0.29112252593040466,0.26926833391189575,0.30788278579711914
91,vanilla,extrap,u_fine,320,162,673,10.125445365905762,20.004520416259766,19.21990966796875,0.19083496928215027,0.2823188602924347,0.26645973324775696,0.36074697971343994
92,vanilla,extrap,u_fine,320,162,565,9.103021621704102,19.456398010253906,3.8082425594329834,0.17299123108386993,0.26801690459251404,0.1138446107506752,0.014162804931402206
93,vanilla,extrap,u_fine,320,162,527,10.10628890991211,19.815683364868164,4.9776177406311035,0.17904996871948242,0.27334389090538025,0.1265418976545334,0.024195972830057144
94,vanilla,extrap,u_fine,320,162,594,8.889784812927246,18.8996524810791,5.671606063842773,0.1847064346075058,0.273457407951355,0.16224199533462524,0.03141319751739502
95,vanilla,extrap,u_fine,320,162,676,10.14624309539795,19.880014419555664,18.59186553955078,0.18939781188964844,0.27727967500686646,0.25995343923568726,0.3375561237335205
96,vanilla,extrap,u_fine,320,162,567,9.03123664855957,19.440662384033203,3.93053936958313,0.1727752536535263,0.26798006892204285,0.11751433461904526,0.015087051317095757
