,metric,method,n,delta_mean,delta_median,p_less,p_two_sided
2,rel_mean,stiefel,986,-5.049624576650817e-05,8.431775495409966e-05,0.4803161750977893,0.9606323501955786
0,rel_mean,curvature,986,0.004410393916742978,0.0037009604275226593,1.0,6.916113672216068e-111
1,rel_mean,operator_norm,986,0.004233357185803913,0.0032982411794364452,1.0,2.3408160443348607e-106
3,rel_mean,stoch_iso,986,0.004564983083566171,0.0038953819312155247,1.0,3.345015030538676e-119
