,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
stiefel,0.11261898012459279,0.050101314229232426,1000,0.16808400954306127,0.07085204307008594,1000,0.1325800803117454,0.05450912675220272,1000,6.11825523340702,3.377234228222958,1000,0.04768296168651432,0.05917578973871891,1000,0.0015843426673217784,0.0022405383297782063,0.0017237299380377725,0.10679752353065458,0.0018713027791357204
vanilla,0.11285904130712152,0.050970699744771315,1000,0.17035760806500913,0.07755533502343728,1000,0.12932372956722976,0.052190318658280443,1000,5.938428489327431,3.129973105418697,1000,0.04399596443551127,0.050599718808387824,1000,0.0016118350512604044,0.0024525150337149,0.001650402787701492,0.09897844028193394,0.0016001036039856658
curvature,0.13145710616186262,0.06409261772954777,1000,0.18783132999017835,0.09234718658348753,1000,0.14461118476651608,0.06788355414520143,1000,6.6801496958732605,3.9697200597417224,1000,0.058952459669671956,0.07384046108660847,1000,0.002026786532278607,0.002920274451123637,0.002146666467662011,0.12553357062043533,0.002335040405107145
stoch_iso,0.1333740696180612,0.06540763036390781,1000,0.19338666516169906,0.09311225924398117,1000,0.1465127519275993,0.06891492965020023,1000,6.778738020777702,4.115856190820238,1000,0.0614009973705397,0.08243094734910769,1000,0.0020683708830433667,0.0029444681729504834,0.0021792814248490365,0.1301548008469656,0.0026066954330859916
operator_norm,0.13525916630774737,0.06460576851428235,1000,0.1928739070184529,0.08632287482325314,1000,0.15291599619016052,0.0716352221158512,1000,7.061034589648247,4.211855798485491,1000,0.0659962884351844,0.08371915709422866,1000,0.0020430137849072475,0.0027297689861508485,0.002265304625781561,0.13319057499401318,0.002647432202072064
