,step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,mu_id,k0
0,0,15.236723899841309,2.080392599105835,0.02076617069542408,100.18180847167969,2.877146005630493,7.500014180550352e-05,vanilla,extrap,u_coarse,80,170,97
1,16,17.749998092651367,1.8785617351531982,0.0015804152935743332,1188.650634765625,3.3562684059143066,1.226100206375122,vanilla,extrap,u_coarse,80,170,97
2,32,20.263273239135742,3.1431009769439697,0.08758578449487686,35.88597106933594,3.522620916366577,1.6686891317367554,vanilla,extrap,u_coarse,80,170,97
3,48,22.776546478271484,1.742990493774414,0.02001778408885002,87.07209777832031,3.32787823677063,1.1664657592773438,vanilla,extrap,u_coarse,80,170,97
4,64,25.28982162475586,3.87851881980896,0.04144664481282234,93.57859802246094,3.5021870136260986,2.13853120803833,vanilla,extrap,u_coarse,80,170,97
5,80,27.8030948638916,2.643343925476074,0.03701690956950188,71.40909576416016,3.440512180328369,1.4683663845062256,vanilla,extrap,u_coarse,80,170,97
6,0,17.592918395996094,2.1912178993225098,0.011423380114138126,191.81869506835938,3.3226304054260254,0.00012874294770881534,vanilla,extrap,u_coarse,80,170,112
7,16,20.10619354248047,3.7390308380126953,0.0980365052819252,38.13916778564453,3.402820587158203,1.616943359375,vanilla,extrap,u_coarse,80,170,112
8,32,22.61946678161621,1.8800874948501587,0.022136546671390533,84.93138122558594,3.3536219596862793,1.0591944456100464,vanilla,extrap,u_coarse,80,170,112
9,48,25.132741928100586,4.227695465087891,0.011660606600344181,362.5622253417969,3.13647198677063,1.8445154428482056,vanilla,extrap,u_coarse,80,170,112
10,64,27.646015167236328,3.246431827545166,0.08169440180063248,39.738731384277344,3.4287612438201904,1.6993229389190674,vanilla,extrap,u_coarse,80,170,112
11,80,30.159290313720703,1.9003846645355225,0.047807931900024414,39.750404357910156,3.3463475704193115,1.3144311904907227,vanilla,extrap,u_coarse,80,170,112
12,0,14.608406066894531,2.903958797454834,0.07634155452251434,38.039031982421875,3.387131452560425,0.00014406976697500795,vanilla,extrap,u_coarse,80,170,93
13,16,17.121679306030273,2.2620768547058105,0.02256305143237114,100.25580596923828,3.3026654720306396,1.2210736274719238,vanilla,extrap,u_coarse,80,170,93
14,32,19.63495445251465,4.6647047996521,0.048284370452165604,96.60900115966797,3.041149616241455,1.8053909540176392,vanilla,extrap,u_coarse,80,170,93
15,48,22.14822769165039,2.2653555870056152,0.004227872937917709,535.8145141601562,3.379053831100464,1.3157671689987183,vanilla,extrap,u_coarse,80,170,93
16,64,24.661502838134766,2.5131258964538574,0.0014782266225665808,1700.0950927734375,3.3045971393585205,1.571204662322998,vanilla,extrap,u_coarse,80,170,93
17,80,27.174776077270508,2.613698720932007,0.10183984041213989,25.664796829223633,3.3663394451141357,1.8651050329208374,vanilla,extrap,u_coarse,80,170,93
18,0,14.137166976928711,2.4776384830474854,0.10304037481546402,24.045316696166992,3.506632089614868,0.00015219378110487014,vanilla,extrap,u_coarse,80,170,90
19,16,16.650440216064453,2.1765048503875732,0.0036902809515595436,589.7938232421875,3.3260371685028076,1.1889991760253906,vanilla,extrap,u_coarse,80,170,90
20,32,19.163715362548828,4.003049373626709,0.03009811043739319,133.00001525878906,3.4085233211517334,1.94747793674469,vanilla,extrap,u_coarse,80,170,90
21,48,21.67698860168457,2.5738437175750732,0.020364807918667793,126.3868408203125,3.0246121883392334,1.3819172382354736,vanilla,extrap,u_coarse,80,170,90
22,64,24.190263748168945,2.1426889896392822,0.022696372121572495,94.40666961669922,3.4017980098724365,1.3594450950622559,vanilla,extrap,u_coarse,80,170,90
23,80,26.703536987304688,3.2552082538604736,0.07810402661561966,41.677852630615234,3.485114336013794,1.721647024154663,vanilla,extrap,u_coarse,80,170,90
24,0,17.592918395996094,2.1912178993225098,0.011423380114138126,191.81869506835938,2.8891568183898926,0.00012874294770881534,vanilla,extrap,u_coarse,80,170,112
25,16,20.10619354248047,3.7390308380126953,0.0980365052819252,38.13916778564453,3.470794916152954,1.616943359375,vanilla,extrap,u_coarse,80,170,112
26,32,22.61946678161621,1.8800874948501587,0.022136546671390533,84.93138122558594,3.354797840118408,1.0591944456100464,vanilla,extrap,u_coarse,80,170,112
27,48,25.132741928100586,4.227695465087891,0.011660606600344181,362.5622253417969,3.124807834625244,1.8445154428482056,vanilla,extrap,u_coarse,80,170,112
28,64,27.646015167236328,3.246431827545166,0.08169440180063248,39.738731384277344,3.407519817352295,1.6993229389190674,vanilla,extrap,u_coarse,80,170,112
29,80,30.159290313720703,1.9003846645355225,0.047807931900024414,39.750404357910156,3.274545669555664,1.3144311904907227,vanilla,extrap,u_coarse,80,170,112
30,0,18.221237182617188,2.26625394821167,0.007056312169879675,321.1669006347656,3.358259677886963,0.000106356295873411,vanilla,extrap,u_coarse,80,170,116
31,16,20.734512329101562,2.8920071125030518,0.13974393904209137,20.695045471191406,3.4759128093719482,1.7037767171859741,vanilla,extrap,u_coarse,80,170,116
32,32,23.247785568237305,1.8233442306518555,0.021174993366003036,86.1083755493164,3.3399808406829834,1.2412222623825073,vanilla,extrap,u_coarse,80,170,116
33,48,25.761058807373047,4.5429487228393555,0.0288543663918972,157.44406127929688,3.540045738220215,2.287428855895996,vanilla,extrap,u_coarse,80,170,116
34,64,28.274333953857422,2.2148380279541016,0.007955960929393768,278.3872375488281,3.3862318992614746,1.2135355472564697,vanilla,extrap,u_coarse,80,170,116
35,80,30.787607192993164,2.553102731704712,0.030019739642739296,85.0474624633789,3.4316866397857666,1.3485355377197266,vanilla,extrap,u_coarse,80,170,116
36,0,13.19468879699707,2.285654306411743,0.018901577219367027,120.92399597167969,3.2853572368621826,0.00021947907225694507,vanilla,extrap,u_coarse,80,170,84
37,16,15.707962989807129,2.263185501098633,0.026645904406905174,84.93558502197266,3.3881022930145264,1.0658953189849854,vanilla,extrap,u_coarse,80,170,84
38,32,18.221237182617188,2.560858964920044,0.031265467405319214,81.90694427490234,3.4355859756469727,1.355044960975647,vanilla,extrap,u_coarse,80,170,84
39,48,20.734512329101562,2.8216960430145264,0.12986202538013458,21.72841453552246,3.325648784637451,1.8261079788208008,vanilla,extrap,u_coarse,80,170,84
40,64,23.247785568237305,1.8084673881530762,0.02231539599597454,81.04124450683594,3.347017765045166,1.2943596839904785,vanilla,extrap,u_coarse,80,170,84
41,80,25.761058807373047,4.650429725646973,0.031108343973755836,149.49139404296875,3.442523241043091,2.325862169265747,vanilla,extrap,u_coarse,80,170,84
42,0,13.037609100341797,3.644608736038208,0.019318995997309685,188.65414428710938,3.4802114963531494,0.00010791659587994218,vanilla,extrap,u_coarse,80,170,83
43,16,15.550883293151855,2.572744131088257,0.019086942076683044,134.79080200195312,3.408512830734253,1.0451370477676392,vanilla,extrap,u_coarse,80,170,83
44,32,18.064157485961914,2.6303844451904297,0.026249011978507042,100.20889282226562,3.4035863876342773,1.2070369720458984,vanilla,extrap,u_coarse,80,170,83
45,48,20.57743263244629,3.66241455078125,0.1227979063987732,29.824731826782227,3.032357931137085,1.7788078784942627,vanilla,extrap,u_coarse,80,170,83
46,64,23.09070587158203,2.042142152786255,0.014242127537727356,143.38743591308594,3.033170700073242,1.2800170183181763,vanilla,extrap,u_coarse,80,170,83
47,80,25.603981018066406,3.3847084045410156,0.01732582040131092,195.35630798339844,3.4436845779418945,2.371699333190918,vanilla,extrap,u_coarse,80,170,83
48,0,16.807519912719727,2.1039023399353027,0.017277203500270844,121.7733154296875,3.2302417755126953,0.0001141918110079132,vanilla,extrap,u_coarse,80,170,107
49,16,19.3207950592041,3.4363021850585938,0.020438292995095253,168.13058471679688,3.498795509338379,1.8210660219192505,vanilla,extrap,u_coarse,80,170,107
50,32,21.834068298339844,2.5874130725860596,0.002748786238953471,941.2929077148438,3.4337260723114014,1.2623047828674316,vanilla,extrap,u_coarse,80,170,107
51,48,24.34734344482422,2.6918511390686035,0.01765637844800949,152.4577178955078,3.4230310916900635,1.31416654586792,vanilla,extrap,u_coarse,80,170,107
52,64,26.86061668395996,3.452167272567749,0.11574506759643555,29.825611114501953,3.294555187225342,1.7377026081085205,vanilla,extrap,u_coarse,80,170,107
53,80,29.373891830444336,2.032562732696533,0.02156897261738777,94.23548889160156,3.235032796859741,1.3283129930496216,vanilla,extrap,u_coarse,80,170,107
54,0,14.765485763549805,2.6472506523132324,0.0016632343176752329,1591.628173828125,3.097057580947876,0.0001551593013573438,vanilla,extrap,u_coarse,80,170,94
55,16,17.278759002685547,1.9623240232467651,0.0022776583209633827,861.5532836914062,3.3180365562438965,1.2960262298583984,vanilla,extrap,u_coarse,80,170,94
56,32,19.792034149169922,3.947601079940796,0.08750627934932709,45.11220169067383,3.053025007247925,1.728406548500061,vanilla,extrap,u_coarse,80,170,94
57,48,22.305307388305664,1.8463577032089233,0.009482008405029774,194.7222137451172,3.331387519836426,1.2766355276107788,vanilla,extrap,u_coarse,80,170,94
58,64,24.81858253479004,3.4843316078186035,0.0015545561909675598,2241.367431640625,3.467437982559204,1.6653499603271484,vanilla,extrap,u_coarse,80,170,94
59,80,27.33185577392578,2.7206428050994873,0.0939321368932724,28.963918685913086,3.168686628341675,1.9321211576461792,vanilla,extrap,u_coarse,80,170,94
60,0,16.179203033447266,2.5262210369110107,0.002683021128177643,941.5584106445312,3.4271793365478516,8.062966662691906e-05,vanilla,extrap,u_coarse,80,127,103
61,16,18.692476272583008,4.383023262023926,0.02885572426021099,151.8944091796875,3.475681781768799,0.8929184079170227,vanilla,extrap,u_coarse,80,127,103
62,32,21.20574951171875,2.2290289402008057,0.03847092390060425,57.94061279296875,3.3287811279296875,0.8169376254081726,vanilla,extrap,u_coarse,80,127,103
63,48,23.719024658203125,3.3050878047943115,0.034343283623456955,96.23680114746094,3.5305960178375244,1.1793901920318604,vanilla,extrap,u_coarse,80,127,103
64,64,26.232297897338867,3.2840025424957275,0.024678783491253853,133.0698699951172,3.3873062133789062,1.1140902042388916,vanilla,extrap,u_coarse,80,127,103
65,80,28.745573043823242,2.6661956310272217,0.041754256933927536,63.854461669921875,3.408107042312622,1.41580069065094,vanilla,extrap,u_coarse,80,127,103
66,0,13.66592788696289,2.7708001136779785,0.009606676176190376,288.4244384765625,3.1958093643188477,0.0001364375202683732,vanilla,extrap,u_coarse,80,127,87
67,16,16.179203033447266,2.87876296043396,0.012855632230639458,223.9300994873047,3.355695962905884,0.9437878727912903,vanilla,extrap,u_coarse,80,127,87
68,32,18.692476272583008,4.877317428588867,0.05385102331638336,90.57056427001953,3.485351324081421,1.2975423336029053,vanilla,extrap,u_coarse,80,127,87
69,48,21.20574951171875,2.0096614360809326,0.03907148540019989,51.43550109863281,3.271413564682007,1.128840684890747,vanilla,extrap,u_coarse,80,127,87
70,64,23.719024658203125,3.2769687175750732,0.012311520986258984,266.1708984375,2.9963998794555664,1.3305779695510864,vanilla,extrap,u_coarse,80,127,87
71,80,26.232297897338867,3.3486618995666504,0.04084858298301697,81.97743225097656,3.295006513595581,1.1763999462127686,vanilla,extrap,u_coarse,80,127,87
72,0,18.064157485961914,3.605548858642578,0.015183850191533566,237.45945739746094,2.983968734741211,0.00014181628648657352,vanilla,extrap,u_coarse,80,127,115
73,16,20.57743263244629,2.3842413425445557,0.02617349661886692,91.0937271118164,3.295914888381958,0.9256108403205872,vanilla,extrap,u_coarse,80,127,115
74,32,23.09070587158203,2.9239323139190674,0.029795434325933456,98.1335678100586,3.4530222415924072,0.9289938807487488,vanilla,extrap,u_coarse,80,127,115
75,48,25.603981018066406,2.8255116939544678,0.03174569830298424,89.00455474853516,3.4220895767211914,1.2615101337432861,vanilla,extrap,u_coarse,80,127,115
76,64,28.11725425720215,2.8061769008636475,0.01463602390140295,191.73081970214844,3.3922815322875977,1.3793259859085083,vanilla,extrap,u_coarse,80,127,115
77,80,30.63052749633789,2.5603439807891846,0.003963731229305267,645.94287109375,3.5173959732055664,2.0059006214141846,vanilla,extrap,u_coarse,80,127,115
78,0,15.550883293151855,1.909907579421997,0.03448215499520302,55.38829040527344,3.3509697914123535,0.00010546132398303598,vanilla,extrap,u_coarse,80,127,99
79,16,18.064157485961914,2.909050226211548,0.01701856590807438,170.93392944335938,3.513331413269043,1.3062373399734497,vanilla,extrap,u_coarse,80,127,99
80,32,20.57743263244629,2.4583990573883057,0.040815066546201706,60.232635498046875,3.3017337322235107,0.8319704532623291,vanilla,extrap,u_coarse,80,127,99
81,48,23.09070587158203,3.2869699001312256,0.029062137007713318,113.10145568847656,3.4863009452819824,1.0416133403778076,vanilla,extrap,u_coarse,80,127,99
82,64,25.603981018066406,2.8378093242645264,0.012347173877060413,229.83473205566406,3.4182443618774414,1.1165757179260254,vanilla,extrap,u_coarse,80,127,99
83,80,28.11725425720215,2.515054941177368,0.016758060082793236,150.080322265625,3.3827927112579346,1.4725183248519897,vanilla,extrap,u_coarse,80,127,99
84,0,18.221237182617188,3.549826145172119,0.0125895906239748,281.9651794433594,3.191131114959717,0.0001296262926189229,vanilla,extrap,u_coarse,80,127,116
85,16,20.734512329101562,2.1904327869415283,0.008945060893893242,244.87623596191406,2.7465109825134277,0.8107004761695862,vanilla,extrap,u_coarse,80,127,116
86,32,23.247785568237305,3.065441608428955,0.0008608422940596938,3560.979248046875,3.492321252822876,0.9259889125823975,vanilla,extrap,u_coarse,80,127,116
87,48,25.761058807373047,3.0125248432159424,0.04698682576417923,64.11424255371094,3.389601707458496,1.1008573770523071,vanilla,extrap,u_coarse,80,127,116
88,64,28.274333953857422,2.705003023147583,0.02815387398004532,96.0792465209961,3.3821494579315186,1.3165432214736938,vanilla,extrap,u_coarse,80,127,116
89,80,30.787607192993164,4.4376068115234375,0.01863820105791092,238.09201049804688,3.2094595432281494,2.036334991455078,vanilla,extrap,u_coarse,80,127,116
90,0,17.592918395996094,2.9140515327453613,0.04735945165157318,61.530517578125,3.5073485374450684,0.00014188731438480318,vanilla,extrap,u_coarse,80,127,112
91,16,20.10619354248047,2.6908633708953857,0.02203419618308544,122.12214660644531,3.345738410949707,0.8742326498031616,vanilla,extrap,u_coarse,80,127,112
92,32,22.61946678161621,2.817283868789673,0.010922287590801716,257.9389953613281,3.451561450958252,0.8204919099807739,vanilla,extrap,u_coarse,80,127,112
93,48,25.132741928100586,3.929482936859131,0.021721787750720978,180.90052795410156,3.4470596313476562,1.4189610481262207,vanilla,extrap,u_coarse,80,127,112
94,64,27.646015167236328,2.0953636169433594,0.036673370748758316,57.135833740234375,3.3024966716766357,1.3777070045471191,vanilla,extrap,u_coarse,80,127,112
95,80,30.159290313720703,3.3255696296691895,0.04625009745359421,71.90406036376953,3.5237486362457275,1.7737382650375366,vanilla,extrap,u_coarse,80,127,112
96,0,17.121679306030273,3.3281047344207764,0.022782664746046066,146.08056640625,3.511992931365967,9.458270506002009e-05,vanilla,extrap,u_coarse,80,127,109
97,16,19.63495445251465,2.8301193714141846,0.02193773351609707,129.0069122314453,3.356687307357788,0.9320144653320312,vanilla,extrap,u_coarse,80,127,109
98,32,22.14822769165039,2.933023452758789,0.02538563683629036,115.5386962890625,2.622321367263794,0.9644392728805542,vanilla,extrap,u_coarse,80,127,109
