,step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,mu_id,k0
0,0,15.236723899841309,1.9705926179885864,0.00885245855897665,222.60398864746094,2.9449844360351562,7.500014180550352e-05,vanilla,extrap,u_coarse,80,170,97
1,16,17.749998092651367,2.1974854469299316,0.08509019017219543,25.825366973876953,3.3599984645843506,1.088226556777954,vanilla,extrap,u_coarse,80,170,97
2,32,20.263273239135742,3.131840467453003,0.06967486441135406,44.94935989379883,3.511532783508301,1.6405733823776245,vanilla,extrap,u_coarse,80,170,97
3,48,22.776546478271484,1.60203218460083,0.02634865790605545,60.8012809753418,3.3027777671813965,1.260107159614563,vanilla,extrap,u_coarse,80,170,97
4,64,25.28982162475586,4.2087082862854,0.02032719925045967,207.04811096191406,3.4700682163238525,1.98380708694458,vanilla,extrap,u_coarse,80,170,97
5,80,27.8030948638916,3.5725557804107666,0.04945658519864082,72.23619842529297,3.3605000972747803,1.5999093055725098,vanilla,extrap,u_coarse,80,170,97
6,0,17.592918395996094,2.5429201126098633,0.018891368061304092,134.60751342773438,3.246795415878296,0.00012874294770881534,vanilla,extrap,u_coarse,80,170,112
7,16,20.10619354248047,3.1615402698516846,0.04130101576447487,76.5487289428711,3.5384786128997803,1.6492727994918823,vanilla,extrap,u_coarse,80,170,112
8,32,22.61946678161621,1.5850485563278198,0.010133418254554272,156.41795349121094,3.3479228019714355,1.3880516290664673,vanilla,extrap,u_coarse,80,170,112
9,48,25.132741928100586,3.4752700328826904,0.008761914446949959,396.6336364746094,3.4892830848693848,1.7530405521392822,vanilla,extrap,u_coarse,80,170,112
10,64,27.646015167236328,3.640252113342285,0.010502617806196213,346.6042785644531,3.2904908657073975,1.559485912322998,vanilla,extrap,u_coarse,80,170,112
11,80,30.159290313720703,2.2318413257598877,0.04656412452459335,47.93048858642578,3.344735622406006,1.5387197732925415,vanilla,extrap,u_coarse,80,170,112
12,0,14.608406066894531,2.4402971267700195,0.010205074213445187,239.1258544921875,3.478076696395874,0.00014406976697500795,vanilla,extrap,u_coarse,80,170,93
13,16,17.121679306030273,2.034938097000122,0.025141630321741104,80.9389877319336,2.8974623680114746,0.784140944480896,vanilla,extrap,u_coarse,80,170,93
14,32,19.63495445251465,3.301204204559326,0.030486278235912323,108.28491973876953,3.5380101203918457,1.654554009437561,vanilla,extrap,u_coarse,80,170,93
15,48,22.14822769165039,2.2808966636657715,0.01972072757780552,115.65986633300781,3.407576084136963,1.3931727409362793,vanilla,extrap,u_coarse,80,170,93
16,64,24.661502838134766,3.6573097705841064,0.02720213681459427,134.44935607910156,3.1980044841766357,1.4301655292510986,vanilla,extrap,u_coarse,80,170,93
17,80,27.174776077270508,2.471914291381836,0.04023212939500809,61.44129943847656,3.503459930419922,1.4497826099395752,vanilla,extrap,u_coarse,80,170,93
18,0,14.137166976928711,2.6653788089752197,0.026520760729908943,100.50159454345703,3.019181489944458,0.00015219378110487014,vanilla,extrap,u_coarse,80,170,90
19,16,16.650440216064453,1.726438283920288,0.05511390045285225,31.324914932250977,3.1033337116241455,0.9189006090164185,vanilla,extrap,u_coarse,80,170,90
20,32,19.163715362548828,4.107253074645996,0.03399120643734932,120.83280944824219,3.1481966972351074,1.7014158964157104,vanilla,extrap,u_coarse,80,170,90
21,48,21.67698860168457,2.7418622970581055,0.017949849367141724,152.7512664794922,3.4436733722686768,1.4871673583984375,vanilla,extrap,u_coarse,80,170,90
22,64,24.190263748168945,1.9389601945877075,0.028432456776499748,68.1953125,3.34802508354187,1.726212501525879,vanilla,extrap,u_coarse,80,170,90
23,80,26.703536987304688,3.2948191165924072,0.034470606595277786,95.58343505859375,3.491361618041992,1.5468641519546509,vanilla,extrap,u_coarse,80,170,90
24,0,17.592918395996094,2.5429201126098633,0.018891368061304092,134.60751342773438,3.3022022247314453,0.00012874294770881534,vanilla,extrap,u_coarse,80,170,112
25,16,20.10619354248047,3.1615402698516846,0.04130101576447487,76.5487289428711,3.493147611618042,1.6492727994918823,vanilla,extrap,u_coarse,80,170,112
26,32,22.61946678161621,1.5850485563278198,0.010133418254554272,156.41795349121094,3.3759915828704834,1.3880516290664673,vanilla,extrap,u_coarse,80,170,112
27,48,25.132741928100586,3.4752700328826904,0.008761914446949959,396.6336364746094,3.466831922531128,1.7530405521392822,vanilla,extrap,u_coarse,80,170,112
28,64,27.646015167236328,3.640252113342285,0.010502617806196213,346.6042785644531,3.452927827835083,1.559485912322998,vanilla,extrap,u_coarse,80,170,112
29,80,30.159290313720703,2.2318413257598877,0.04656412452459335,47.93048858642578,2.631643056869507,1.5387197732925415,vanilla,extrap,u_coarse,80,170,112
30,0,18.221237182617188,3.188123941421509,0.010137444362044334,314.4898986816406,3.338496208190918,0.000106356295873411,vanilla,extrap,u_coarse,80,170,116
31,16,20.734512329101562,2.6401352882385254,0.013940488919615746,189.38613891601562,2.8887248039245605,1.3637843132019043,vanilla,extrap,u_coarse,80,170,116
32,32,23.247785568237305,2.1433801651000977,0.039402205497026443,54.39746856689453,2.803612232208252,1.1427563428878784,vanilla,extrap,u_coarse,80,170,116
33,48,25.761058807373047,3.8990726470947266,0.06094009429216385,63.982059478759766,3.1299057006835938,1.7958347797393799,vanilla,extrap,u_coarse,80,170,116
34,64,28.274333953857422,2.4275457859039307,0.002229941776022315,1088.614013671875,3.4104905128479004,1.756758689880371,vanilla,extrap,u_coarse,80,170,116
35,80,30.787607192993164,2.5761733055114746,0.03380627930164337,76.20398712158203,2.95757794380188,1.7858710289001465,vanilla,extrap,u_coarse,80,170,116
36,0,13.19468879699707,3.3165175914764404,0.012503120116889477,265.25518798828125,3.478165864944458,0.00021947907225694507,vanilla,extrap,u_coarse,80,170,84
37,16,15.707962989807129,2.4356586933135986,0.011935661546885967,204.06565856933594,3.3965816497802734,1.544914722442627,vanilla,extrap,u_coarse,80,170,84
38,32,18.221237182617188,2.7997560501098633,0.015854356810450554,176.59222412109375,3.4594874382019043,2.1986887454986572,vanilla,extrap,u_coarse,80,170,84
39,48,20.734512329101562,2.3362925052642822,0.034096378833055496,68.52025604248047,3.4474990367889404,1.5789616107940674,vanilla,extrap,u_coarse,80,170,84
40,64,23.247785568237305,2.12902569770813,0.02973550371825695,71.5987777709961,3.332136631011963,1.3201051950454712,vanilla,extrap,u_coarse,80,170,84
41,80,25.761058807373047,4.111452102661133,0.06090809404850006,67.50255584716797,3.5323824882507324,1.8607735633850098,vanilla,extrap,u_coarse,80,170,84
42,0,13.037609100341797,3.098818063735962,0.006273879203945398,493.92376708984375,3.4815735816955566,0.00010791659587994218,vanilla,extrap,u_coarse,80,170,83
43,16,15.550883293151855,3.000786781311035,0.022780228406190872,131.72769165039062,3.4183034896850586,1.5060425996780396,vanilla,extrap,u_coarse,80,170,83
44,32,18.064157485961914,2.0587663650512695,0.054290782660245895,37.921104431152344,3.388622760772705,2.3705015182495117,vanilla,extrap,u_coarse,80,170,83
45,48,20.57743263244629,2.9415910243988037,0.008831244893372059,333.08905029296875,3.0251598358154297,1.6512919664382935,vanilla,extrap,u_coarse,80,170,83
46,64,23.09070587158203,1.85761559009552,0.006916876882314682,268.5627746582031,3.3058552742004395,1.3488743305206299,vanilla,extrap,u_coarse,80,170,83
47,80,25.603981018066406,5.079273700714111,0.010040798224508762,505.863525390625,3.448734760284424,2.0295543670654297,vanilla,extrap,u_coarse,80,170,83
48,0,16.807519912719727,2.1975936889648438,0.007162334863096476,306.8264465332031,3.311349868774414,0.0001141918110079132,vanilla,extrap,u_coarse,80,170,107
49,16,19.3207950592041,4.15452241897583,0.04031183943152428,103.05960845947266,3.5019681453704834,1.643052101135254,vanilla,extrap,u_coarse,80,170,107
50,32,21.834068298339844,3.11633038520813,0.01343588251620531,231.9408721923828,3.395548105239868,1.6176875829696655,vanilla,extrap,u_coarse,80,170,107
51,48,24.34734344482422,2.1240034103393555,0.01851913332939148,114.69237518310547,3.4390041828155518,1.6105141639709473,vanilla,extrap,u_coarse,80,170,107
52,64,26.86061668395996,2.706082582473755,0.008565076626837254,315.9437561035156,3.535778045654297,1.5202943086624146,vanilla,extrap,u_coarse,80,170,107
53,80,29.373891830444336,1.8941692113876343,0.003951899241656065,479.3060607910156,3.3373637199401855,1.1645092964172363,vanilla,extrap,u_coarse,80,170,107
54,0,14.765485763549805,3.0254194736480713,0.019737528637051582,153.2825927734375,2.9142308235168457,0.0001551593013573438,vanilla,extrap,u_coarse,80,170,94
55,16,17.278759002685547,2.1534786224365234,0.013345285318791866,161.36624145507812,3.2834224700927734,0.7451311349868774,vanilla,extrap,u_coarse,80,170,94
56,32,19.792034149169922,4.819738388061523,0.029488638043403625,163.44390869140625,3.5280911922454834,1.609296202659607,vanilla,extrap,u_coarse,80,170,94
57,48,22.305307388305664,1.949674367904663,0.018406497314572334,105.92315673828125,3.394130229949951,1.359169602394104,vanilla,extrap,u_coarse,80,170,94
58,64,24.81858253479004,3.6819005012512207,0.02284817583858967,161.1463623046875,3.3981916904449463,1.5347925424575806,vanilla,extrap,u_coarse,80,170,94
59,80,27.33185577392578,2.5689473152160645,0.022089771926403046,116.29578399658203,3.4113998413085938,1.478296160697937,vanilla,extrap,u_coarse,80,170,94
60,0,16.179203033447266,3.1148250102996826,0.06598153710365295,47.207523345947266,3.433180093765259,8.062966662691906e-05,vanilla,extrap,u_coarse,80,127,103
61,16,18.692476272583008,5.290628433227539,0.08039771765470505,65.80570220947266,3.235527753829956,0.8257780075073242,vanilla,extrap,u_coarse,80,127,103
62,32,21.20574951171875,2.347555637359619,0.044950325042009354,52.225555419921875,3.389626979827881,1.1411480903625488,vanilla,extrap,u_coarse,80,127,103
63,48,23.719024658203125,2.8439226150512695,0.12478698790073395,22.790218353271484,3.052993059158325,1.5010228157043457,vanilla,extrap,u_coarse,80,127,103
64,64,26.232297897338867,4.954550743103027,0.01735680177807808,285.4529724121094,3.257049798965454,1.2380993366241455,vanilla,extrap,u_coarse,80,127,103
65,80,28.745573043823242,2.9658420085906982,0.0508430115878582,58.33332824707031,3.4720821380615234,1.3910040855407715,vanilla,extrap,u_coarse,80,127,103
66,0,13.66592788696289,3.2164032459259033,0.01833542063832283,175.4202117919922,3.3127331733703613,0.0001364375202683732,vanilla,extrap,u_coarse,80,127,87
67,16,16.179203033447266,3.2884979248046875,0.03979312255978584,82.63985443115234,3.4796321392059326,1.4051940441131592,vanilla,extrap,u_coarse,80,127,87
68,32,18.692476272583008,5.2755446434021,0.003096603788435459,1703.655029296875,3.4987857341766357,1.5455065965652466,vanilla,extrap,u_coarse,80,127,87
69,48,21.20574951171875,2.4517016410827637,0.049885671585798264,49.14640808105469,3.3470306396484375,1.2290065288543701,vanilla,extrap,u_coarse,80,127,87
70,64,23.719024658203125,2.8762521743774414,0.12410243600606918,23.176435470581055,2.868236780166626,1.5171914100646973,vanilla,extrap,u_coarse,80,127,87
71,80,26.232297897338867,5.093715667724609,0.02878885716199875,176.93357849121094,2.7973341941833496,1.2943035364151,vanilla,extrap,u_coarse,80,127,87
72,0,18.064157485961914,3.6884281635284424,0.0004259884881321341,8658.515625,3.341933250427246,0.00014181628648657352,vanilla,extrap,u_coarse,80,127,115
73,16,20.57743263244629,2.692943572998047,0.01201386284083128,224.15301513671875,3.3089499473571777,1.094681739807129,vanilla,extrap,u_coarse,80,127,115
74,32,23.09070587158203,2.841053009033203,0.003586564911529422,792.1376342773438,3.5298471450805664,1.6773067712783813,vanilla,extrap,u_coarse,80,127,115
75,48,25.603981018066406,4.645530700683594,0.019992725923657417,232.3610382080078,3.243345260620117,1.3750466108322144,vanilla,extrap,u_coarse,80,127,115
76,64,28.11725425720215,2.6725401878356934,0.013570367358624935,196.9394073486328,3.3951351642608643,1.421255111694336,vanilla,extrap,u_coarse,80,127,115
77,80,30.63052749633789,2.8739089965820312,0.016495753079652786,174.2211456298828,3.51729416847229,1.6526740789413452,vanilla,extrap,u_coarse,80,127,115
78,0,15.550883293151855,2.413487672805786,0.014286250807344913,168.9377899169922,3.3753364086151123,0.00010546132398303598,vanilla,extrap,u_coarse,80,127,99
79,16,18.064157485961914,3.7761402130126953,0.053533803671598434,70.53749084472656,3.5194451808929443,1.1764552593231201,vanilla,extrap,u_coarse,80,127,99
80,32,20.57743263244629,2.9262778759002686,0.003963281400501728,738.3472290039062,3.105376958847046,0.8026169538497925,vanilla,extrap,u_coarse,80,127,99
