,metric,method,n,delta_mean,delta_median,p_less,p_two_sided
0,rel_mean,curvature,986,0.005574833068989112,0.004524880088865757,1.0,3.647379454256574e-127
1,rel_mean,operator_norm,986,0.0062050487133948245,0.005113225430250168,1.0,2.5325436333806583e-138
2,rel_mean,stiefel,986,0.0014122282712140384,0.0011631553061306477,1.0,4.8637352592578976e-39
3,rel_mean,stoch_iso,986,0.006632140296384783,0.005488225724548101,1.0,7.892893652572406e-144
