,metric,method,n,delta_mean,delta_median,p_less,p_two_sided
2,rel_mean,stiefel,986,-9.188675992266401e-06,0.0001096036285161972,0.8392806445248062,0.32143871095038756
0,rel_mean,curvature,986,0.004382146459118166,0.003682373557239771,1.0,1.6769306256910453e-120
1,rel_mean,operator_norm,986,0.004740956981815625,0.003949216566979885,1.0,4.657310490539115e-127
3,rel_mean,stoch_iso,986,0.005394771318263081,0.004550538957118988,1.0,8.410730499849378e-137
