,version,method,run,n_epochs,best_train,best_val,best_train_ep,best_val_ep,target_val,target_ep,target_reached,std_train,std_val,target_swa_epochs,best_swa_epochs,last_swa_epochs
0,1,curvature,1,50,0.0007950240872209755,0.0013034430460538715,50,38,0.0027153938501141965,13,True,0.024328459828981384,0.0195973369561577,"[11, 12, 13]","[36, 37, 38]","[48, 49, 50]"
1,1,curvature,2,50,0.0008704648654135626,0.0010772449811920523,49,50,0.0027153938501141965,13,True,0.02447647414267336,0.016335234793864502,"[11, 12, 13]","[48, 49, 50]","[48, 49, 50]"
2,1,curvature,3,50,0.0008927529398919787,0.0011926605951739476,49,50,0.0027153938501141965,20,True,0.023915706276723674,0.019757734924643347,"[18, 19, 20]","[48, 49, 50]","[48, 49, 50]"
3,1,curvature,4,50,0.0008590019193602862,0.0008023969868663698,50,45,0.0027153938501141965,14,True,0.024410819277949806,0.018702969212436932,"[12, 13, 14]","[43, 44, 45]","[48, 49, 50]"
4,1,curvature,5,50,0.0006486812325353484,0.0019322831435129046,49,27,0.0027153938501141965,14,True,0.025472529592778192,0.01783317468646857,"[12, 13, 14]","[25, 26, 27]","[48, 49, 50]"
5,1,curvature,6,50,0.000987724078643113,0.0015322913643904031,50,34,0.0027153938501141965,19,True,0.024726101007035064,0.02171286724757578,"[17, 18, 19]","[32, 33, 34]","[48, 49, 50]"
6,1,curvature,7,50,0.0009452986685990742,0.0010222717090509832,49,46,0.0027153938501141965,14,True,0.025780303282889397,0.023228864592948126,"[12, 13, 14]","[44, 45, 46]","[48, 49, 50]"
7,1,curvature,8,50,0.0007821337729351732,0.0006966612025862559,50,49,0.0027153938501141965,11,True,0.025038213470994605,0.019409352153137875,"[9, 10, 11]","[47, 48, 49]","[48, 49, 50]"
8,1,curvature,9,50,0.0007281959040953619,0.0013712319042533637,50,47,0.0027153938501141965,11,True,0.025122353119074084,0.020693075387419463,"[9, 10, 11]","[45, 46, 47]","[48, 49, 50]"
9,1,curvature,10,50,0.0007461572826340249,0.0013427985801827162,50,30,0.0027153938501141965,21,True,0.024778207087404563,0.02049332086786618,"[19, 20, 21]","[28, 29, 30]","[48, 49, 50]"
