,method,split,field,horizon,mu_id,k0,abs_mean,abs_max,abs_fin,rel_mean,rel_max,rel_fin,mse_fin
0,vanilla,extrap,u_fine,160,170,637,5.5822834968566895,10.414217948913574,10.414217948913574,0.13649682700634003,0.22042447328567505,0.22042447328567505,0.10591400414705276
1,vanilla,extrap,u_fine,160,170,768,8.998651504516602,11.278509140014648,8.151476860046387,0.18744663894176483,0.23509199917316437,0.2316654920578003,0.06488923728466034
2,vanilla,extrap,u_fine,160,170,608,6.664262294769287,9.90870189666748,8.482420921325684,0.14953505992889404,0.23530814051628113,0.23530814051628113,0.07026509940624237
3,vanilla,extrap,u_fine,160,170,582,7.575492858886719,10.74879264831543,6.7220234870910645,0.15911293029785156,0.1914869248867035,0.1914869248867035,0.044126562774181366
4,vanilla,extrap,u_fine,160,170,770,8.882852554321289,11.192155838012695,7.934254169464111,0.18547819554805756,0.23159708082675934,0.22517436742782593,0.061476945877075195
5,vanilla,extrap,u_fine,160,170,799,7.895995616912842,10.795414924621582,9.499265670776367,0.1749122142791748,0.27184614539146423,0.27184614539146423,0.08812114596366882
6,vanilla,extrap,u_fine,160,170,527,9.05254077911377,12.909765243530273,9.735694885253906,0.18095746636390686,0.23809267580509186,0.22112169861793518,0.09256225824356079
7,vanilla,extrap,u_fine,160,170,520,8.746830940246582,12.65965461730957,11.051139831542969,0.1763051599264145,0.23468884825706482,0.2247392237186432,0.11926533281803131
8,vanilla,extrap,u_fine,160,170,729,9.51099681854248,13.15396499633789,10.357975959777832,0.18986554443836212,0.24727679789066315,0.2429598867893219,0.10477310419082642
9,vanilla,extrap,u_fine,160,170,615,6.348165512084961,9.085311889648438,8.750612258911133,0.14542365074157715,0.2318069040775299,0.2318069040775299,0.07477852702140808
10,vanilla,extrap,u_fine,160,127,696,4.459850311279297,7.286707878112793,4.403489112854004,0.0968608409166336,0.14565281569957733,0.12990926206111908,0.018936246633529663
11,vanilla,extrap,u_fine,160,127,552,4.602176189422607,6.472037315368652,4.039944171905518,0.11053302139043808,0.1531684547662735,0.09763537347316742,0.015938622877001762
12,vanilla,extrap,u_fine,160,127,793,3.9537200927734375,7.534228324890137,7.534228324890137,0.09696550667285919,0.14440874755382538,0.14440874755382538,0.055434178560972214
13,vanilla,extrap,u_fine,160,127,654,5.375256538391113,8.773741722106934,5.241898536682129,0.1159849688410759,0.1555699110031128,0.12308935075998306,0.02683349698781967
14,vanilla,extrap,u_fine,160,127,805,4.248313903808594,7.846655368804932,7.846655368804932,0.10156170278787613,0.14199599623680115,0.14199599623680115,0.060126952826976776
15,vanilla,extrap,u_fine,160,127,771,3.665647268295288,5.183998107910156,5.183998107910156,0.09139259904623032,0.13153822720050812,0.11277858912944794,0.02624398097395897
16,vanilla,extrap,u_fine,160,127,740,4.5042924880981445,6.793051242828369,4.083266258239746,0.10608744621276855,0.15672893822193146,0.10265503078699112,0.01628228835761547
17,vanilla,extrap,u_fine,160,127,579,3.6834113597869873,6.31792688369751,6.31792688369751,0.09231474250555038,0.13057054579257965,0.13057054579257965,0.03898066654801369
18,vanilla,extrap,u_fine,160,127,761,3.850849151611328,5.2622971534729,2.740319013595581,0.09402453154325485,0.14727681875228882,0.06344103068113327,0.0073333485051989555
19,vanilla,extrap,u_fine,160,127,518,4.56331205368042,7.280723571777344,4.033864498138428,0.10277388244867325,0.13974198698997498,0.11224166303873062,0.015890687704086304
20,vanilla,extrap,u_fine,160,102,694,5.235148906707764,7.288001537322998,4.087019443511963,0.12258527427911758,0.1595039665699005,0.1061265766620636,0.016312234103679657
21,vanilla,extrap,u_fine,160,102,638,4.575531005859375,6.62180757522583,4.860713005065918,0.1013428345322609,0.14458531141281128,0.13337738811969757,0.023072782903909683
22,vanilla,extrap,u_fine,160,102,839,5.574069976806641,8.467819213867188,6.00151252746582,0.12344367802143097,0.18459168076515198,0.16564245522022247,0.03517397493124008
23,vanilla,extrap,u_fine,160,102,568,3.005124807357788,6.442262172698975,6.442262172698975,0.07172524183988571,0.12052695453166962,0.12052695453166962,0.040530018508434296
24,vanilla,extrap,u_fine,160,102,822,5.439162731170654,8.89614486694336,7.054512977600098,0.11900067329406738,0.194074347615242,0.16980157792568207,0.048599760979413986
25,vanilla,extrap,u_fine,160,102,531,2.8483664989471436,3.8354849815368652,3.831777572631836,0.07130947709083557,0.1092466190457344,0.08368201553821564,0.014338399283587933
26,vanilla,extrap,u_fine,160,102,712,4.307707786560059,6.102995872497559,4.11729621887207,0.10219861567020416,0.13027852773666382,0.10139290243387222,0.0165548138320446
27,vanilla,extrap,u_fine,160,102,698,5.122920513153076,7.113696098327637,4.084878921508789,0.12038006633520126,0.15562337636947632,0.10557263344526291,0.01629515364766121
28,vanilla,extrap,u_fine,160,102,806,4.796519756317139,9.360641479492188,8.862792015075684,0.10463086515665054,0.20529888570308685,0.19812855124473572,0.07670809328556061
29,vanilla,extrap,u_fine,160,102,602,4.083539009094238,7.534121513366699,7.457773208618164,0.09000688046216965,0.16580499708652496,0.16531844437122345,0.05431482195854187
30,vanilla,extrap,u_fine,160,53,807,6.589698314666748,10.56332015991211,5.650012969970703,0.13475337624549866,0.17916381359100342,0.14241598546504974,0.03117445856332779
31,vanilla,extrap,u_fine,160,53,729,4.42376184463501,9.27955436706543,9.244234085083008,0.10530402511358261,0.1766483038663864,0.1712159961462021,0.0834529846906662
32,vanilla,extrap,u_fine,160,53,803,6.731393337249756,10.759766578674316,5.799068450927734,0.13814407587051392,0.1824408322572708,0.14331266283988953,0.03284100443124771
