,metric,method,n,delta_mean,delta_median,p_less,p_two_sided
3,rel_mean,stoch_iso,880,-0.02154746482529762,-0.02171107940375805,2.592723176162974e-139,5.185446352325948e-139
0,rel_mean,curvature,880,-0.024161344320005315,-0.023954050615429878,8.143168083225182e-137,1.6286336166450363e-136
1,rel_mean,operator_norm,880,-0.02238314042756842,-0.023449402302503586,3.266455872240943e-129,6.532911744481886e-129
2,rel_mean,stiefel,880,-0.0049372135153548284,-0.005428355187177658,3.3600380636266455e-30,6.720076127253291e-30
