,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
operator_norm,0.0428729265909642,0.03142379129720099,1000,0.06437579560652375,0.06619265790215018,1000,0.0468739556260407,0.028850939513254507,1000,1.9619840545654297,1.1972727243100927,1000,0.005157626883912599,0.011054278443299322,1000,0.0009937075321693224,0.0020931956335113744,0.0009123468149763391,0.03786108789214741,0.00034956697770526337
stoch_iso,0.04383922419324517,0.030652407275097403,1000,0.06588673461042345,0.06083026478578882,1000,0.048385120671242475,0.028502952409551426,1000,2.022290865123272,1.1741519888481144,1000,0.005338783802231774,0.010916468425825391,1000,0.0009693142275642323,0.0019236218739422722,0.0009013424965356695,0.037129946039766645,0.0003452090423092111
stiefel,0.0485286526363343,0.030397208837181756,1000,0.07113527639955282,0.06215798756270141,1000,0.05234656951390207,0.02878823661164803,1000,2.206805538028479,1.2529241087462282,1000,0.006287343441013945,0.010110741401670035,1000,0.0009612441443729271,0.0019656081547055463,0.0009103639751265601,0.03962093918974575,0.0003197297166224068
vanilla,0.06831154272705317,0.02966552827883536,1000,0.1120150111541152,0.056661611237733174,1000,0.09784370355680586,0.02868796829667786,1000,4.120163341641426,1.3169926816802706,1000,0.018270001319935544,0.014720140074942724,1000,0.0009381063735325437,0.0017917974740622922,0.0009071932126020312,0.041646965358827656,0.0004654917011354067
curvature,0.08490629706904292,0.03003287072384806,1000,0.14213064727187158,0.05684316740755517,1000,0.1293072573579848,0.03627340022570322,1000,5.4370377826690675,1.62274141886394,1000,0.03143753530271352,0.021679908323363584,1000,0.0009497227616074966,0.0017975387842612304,0.0011470656319208794,0.05131558937103376,0.0006855788976547117
