,step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,mu_id,k0
0,0,20.011945724487305,1.7614624500274658,0.009663860313594341,182.27316284179688,3.526200294494629,0.00014659055159427226,vanilla,extrap,u_fine,160,170,637
1,32,21.017255783081055,2.286139726638794,0.014220219105482101,160.766845703125,3.477653741836548,1.673194408416748,vanilla,extrap,u_fine,160,170,637
2,64,22.022563934326172,1.0918538570404053,0.008980032987892628,121.58684539794922,2.8298091888427734,1.708738923072815,vanilla,extrap,u_fine,160,170,637
3,96,23.027873992919922,1.9756579399108887,0.009516612626612186,207.60096740722656,3.2810473442077637,1.2748228311538696,vanilla,extrap,u_fine,160,170,637
4,128,24.033184051513672,1.9405944347381592,0.01894696243107319,102.42245483398438,3.307331085205078,1.7100242376327515,vanilla,extrap,u_fine,160,170,637
5,160,25.038494110107422,2.8583121299743652,0.002540877088904381,1124.9312744140625,3.501971483230591,2.4766769409179688,vanilla,extrap,u_fine,160,170,637
6,0,24.127431869506836,1.5333127975463867,0.024919159710407257,61.5314826965332,3.3597371578216553,0.00012770379544235766,vanilla,extrap,u_fine,160,170,768
7,32,25.132741928100586,2.16080641746521,0.009595321491360664,225.19375610351562,3.4223530292510986,1.9353883266448975,vanilla,extrap,u_fine,160,170,768
8,64,26.138050079345703,2.820382833480835,0.04209417849779129,67.0017318725586,3.4885966777801514,2.4278664588928223,vanilla,extrap,u_fine,160,170,768
9,96,27.143360137939453,1.6152571439743042,0.007994333282113075,202.05026245117188,3.268690586090088,2.4875283241271973,vanilla,extrap,u_fine,160,170,768
10,128,28.148670196533203,1.3944110870361328,0.002127888845279813,655.3026123046875,3.3631041049957275,1.9648090600967407,vanilla,extrap,u_fine,160,170,768
11,160,29.153980255126953,2.0099716186523438,0.017219100147485733,116.72918701171875,3.367445230484009,1.3827431201934814,vanilla,extrap,u_fine,160,170,768
12,0,19.10088348388672,1.9579498767852783,0.009970404207706451,196.3761749267578,3.4150288105010986,9.828302427195013e-05,vanilla,extrap,u_fine,160,170,608
13,32,20.10619354248047,2.0187339782714844,0.0254763662815094,79.2394790649414,3.4571967124938965,3.155529737472534,vanilla,extrap,u_fine,160,170,608
14,64,21.111501693725586,2.2198421955108643,0.01619022898375988,137.11000061035156,3.4657068252563477,2.2278330326080322,vanilla,extrap,u_fine,160,170,608
15,96,22.116811752319336,1.5400328636169434,0.008605466224253178,178.9598388671875,3.4265661239624023,1.8752449750900269,vanilla,extrap,u_fine,160,170,608
16,128,23.122121810913086,1.9598573446273804,0.026530271396040916,73.87249755859375,2.8843626976013184,1.2759820222854614,vanilla,extrap,u_fine,160,170,608
17,160,24.127431869506836,1.7025647163391113,0.0026833645533770323,634.48876953125,3.3185062408447266,1.8213032484054565,vanilla,extrap,u_fine,160,170,608
18,0,18.284069061279297,2.472635507583618,0.003340350929647684,740.2322387695312,3.4046545028686523,0.00013148548896424472,vanilla,extrap,u_fine,160,170,582
