,metric,method,n,delta_mean,delta_median,p_less,p_two_sided
1,rel_mean,operator_norm,880,-0.010542837298602205,-0.00898816529661417,7.967894599529563e-141,1.5935789199059126e-140
3,rel_mean,stoch_iso,880,-0.010972847882658242,-0.00907982513308525,1.2800206209388058e-136,2.5600412418776115e-136
0,rel_mean,curvature,880,0.011920930424027823,0.011481327936053276,1.0,3.579844858636702e-128
2,rel_mean,stiefel,880,0.003076702110808004,0.002737092785537243,1.0,1.4963691898343317e-32
