,metric,method,n,delta_mean,delta_median,p_less,p_two_sided
2,rel_mean,stiefel,979,-0.006331244519739521,-0.007377319037914276,3.029867878346625e-42,6.05973575669325e-42
0,rel_mean,curvature,979,0.02578782303157939,0.018404461443424225,1.0,7.475641950339077e-85
1,rel_mean,operator_norm,979,0.032075727348947425,0.021753713488578796,1.0,6.356233125415384e-88
3,rel_mean,stoch_iso,979,0.02056936603477101,0.012386724352836609,1.0,1.582352866955764e-43
