,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
vanilla,0.1364534951336682,0.04659737655327852,1000,0.20802670756727457,0.06738048435917961,1000,0.17710195636376738,0.06427525885469335,1000,8.046641960859299,3.8509325436087933,1000,0.07769853349635378,0.08303561747071858,1000,0.0014735384289688651,0.002130758004203586,0.0020325621517773658,0.1217771795346948,0.0026258167812594057
stiefel,0.13874345106631517,0.04872397239412643,1000,0.20897835347428917,0.06715393916634271,1000,0.17832665112614632,0.06644125557545043,1000,8.143835990190507,4.09754677917219,1000,0.08114762120926752,0.09024378553171818,1000,0.0015407872941660683,0.002123594016180319,0.0021010569821978465,0.12957580641271113,0.002853759069559788
stoch_iso,0.15800846205279231,0.06275211360071714,1000,0.23662810250371694,0.08328554115516217,1000,0.19517174268513918,0.07190090478927755,1000,8.86199669766426,4.258078794529821,1000,0.09438289932790213,0.09858996640832049,1000,0.001984396069678961,0.0026337200621000347,0.0022737062496102603,0.13465227447178355,0.0031176884828978285
curvature,0.1584874758347869,0.06698314303487518,1000,0.2262639888189733,0.08772192757489733,1000,0.18790156427025795,0.07922168782162411,1000,8.584501903057099,4.606421384656049,1000,0.09266755013109651,0.10614529391873859,1000,0.0021181929682704895,0.002774010918770064,0.002505209735991553,0.14566783438019718,0.0033566089169123356
operator_norm,0.16928934015333652,0.06643121665780401,1000,0.24703589426726102,0.08562921365638375,1000,0.21042141806334258,0.07634384961439368,1000,9.528181955456734,4.449751632344176,1000,0.10797533270181156,0.10943121667492174,1000,0.002100739523747791,0.0027078334940336744,0.0024142045012685146,0.14071350180259767,0.003460518918161505
