,rel_mean,rel_mean,rel_mean,rel_max,rel_max,rel_max,rel_fin,rel_fin,rel_fin,abs_fin,abs_fin,abs_fin,mse_fin,mse_fin,mse_fin,rel_mean,rel_max,rel_fin,abs_fin,mse_fin
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,se,se,se,se,se
method,,,,,,,,,,,,,,,,,,,,
stiefel,0.13707192040607333,0.05894570115229925,1000,0.21268734484910964,0.08737486982188697,1000,0.18214239378273486,0.08500857429439099,1000,8.213513296723367,4.425058012753624,1000,0.08498374796565622,0.1005162833746732,1000,0.0018640267391687743,0.002763035988978735,0.0026882071541391656,0.13993262098679868,0.003178603973988833
vanilla,0.14673849743977188,0.05755628917919598,1000,0.22245823612809182,0.08313644204475111,1000,0.18364042794704438,0.07370632289916765,1000,8.38375621676445,4.428148982552842,1000,0.0877697882205248,0.10520437408748975,1000,0.0018200896747356248,0.002629005134239996,0.002330798583171949,0.1400303660342419,0.00332685441928866
operator_norm,0.16074139560759068,0.0688345549894409,1000,0.23330395840108395,0.09325879169969375,1000,0.1910830137617886,0.08149958512835358,1000,8.743278858423233,4.718128298243036,1000,0.09637050693901256,0.1096458305130253,1000,0.002176739754907408,0.0029491019360623786,0.002577243173643836,0.14920031715342205,0.0034673056036194833
curvature,0.16576583044603466,0.06778923886141894,1000,0.23625823649019004,0.08920574425137992,1000,0.19502370969951152,0.08365090140555012,1000,8.91319404900074,4.92432965206133,1000,0.1012400406554807,0.12499470625092537,1000,0.0021436839565128324,0.0028209333220483254,0.0026452737676771884,0.15572097650018274,0.003952679672166102
stoch_iso,0.16867559484019876,0.06960573119375946,1000,0.24530399768799543,0.09176337052087495,1000,0.1994864311516285,0.0831584583680933,1000,9.120262097477912,4.847532615075778,1000,0.10415454593952746,0.11985956689518434,1000,0.0022011264877371084,0.002901812566199165,0.0026297013515146368,0.15329244095591738,0.003790292307500989
